PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
sZyb1,2k5/2b2N2/4pp2/q2p4/b7/Q7/5PPP/R1Bn3K w - - 1 40,c1f4 a5e1,755,84,96,14517,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HQE8rHI3#79,
5XnPN,1k6/7p/6p1/1N1r2K1/5P1P/6P1/Rb6/8 w - - 1 49,g5h6 d5h5,783,77,100,13046,endgame master mate mateIn1 oneMove pillsburysMate,https://lichess.org/3rhJu8CJ#97,
RhjAM,5K2/2q1P3/5Np1/4k2p/8/6PP/8/8 b - - 2 57,e5f6 e7e8n f6f5 e8c7,797,90,89,11426,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/7cd3CoAI/black#114,
PovfZ,4rr1k/ppq3pp/4Q3/4NR2/2P5/PP5P/6P1/7K b - - 0 30,f8f5 e6e8 f5f8 e8f8,782,79,98,8441,endgame hangingPiece mate mateIn2 short,https://lichess.org/55oulq2V/black#60,
m3uK2,r5k1/ppp2rpp/3p4/1q6/4PB2/6P1/PPP1NbB1/RN1Q3K w - - 0 19,b1c3 b5h5 g2h3 h5h3,735,78,97,8294,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/F0droCOi#37,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
JEDw2,8/1R3P2/p5k1/P1pr1nBp/2p3pP/8/4p1PK/8 b - - 0 48,e2e1q f7f8n,792,91,84,6742,advancedPawn cornerMate endgame master masterVsMaster mate mateIn1 oneMove promotion underPromotion,https://lichess.org/lavgmYsh/black#96,
ZPlkp,8/1R2bk2/1P3p2/3p1P2/1P1Pp1K1/2P5/2r5/8 b - - 0 65,c2c3 b7e7 f7e7 b6b7,785,96,97,6251,advancedPawn crushing endgame master masterVsMaster sacrifice short,https://lichess.org/TQr9iVgp/black#130,
c31Fy,q6r/5pkp/BP4p1/2b1P3/Q7/8/1P3P1P/2R2bK1 w - - 0 29,g1f1 a8h1 f1e2 h1c1,785,113,96,6148,crushing endgame short skewer,https://lichess.org/pA2lRud2#57,
oHs6t,8/4P1kp/5Bp1/6q1/pP2P3/P4P1P/2R3PK/3r4 b - - 0 46,g5f6 e7e8n g7f7 e8f6,731,91,84,6014,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/JAO3H4Uj/black#92,
iXTRk,8/8/p1k5/8/b5P1/3K4/nQp5/8 w - - 3 51,b2a2 c2c1n d3c3 c1a2,790,93,86,5693,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/g0tvvBsY#101,
