PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
etLeX,2r2r2/1p4bk/1q1N2pp/p4p2/3nnP2/Q1B2N2/PPP3PP/R4RK1 w - - 0 23,d6c8 d4f3 g1h1 b6g1 f1g1 e4f2,2357,99,94,200216,discoveredCheck doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/6T5ctfvY#45,
G4ijX,5bk1/3N1Qpp/3qp3/p2p1nN1/P2P1P2/6B1/2p3PP/3n2K1 b - - 0 29,g8h8 d7f6 f5h6 f7g8 h6g8 g5f7,2392,87,94,185963,kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/hi1d6Qyd/black#58,
6ziym,r3k2r/pp2bppp/1q1p4/3Pn2b/8/5N1P/PPQN1PP1/R3KB1R w KQkq - 1 14,f3e5 b6e3 f2e3 e7h4 g2g3 h4g3,2342,95,94,182655,doubleBishopMate long mate mateIn3 middlegame sacrifice,https://lichess.org/5JhTTlDw#27,Alekhine_Defense Alekhine_Defense_Exchange_Variation
QRMxC,2b2rk1/5ppp/2N1pn2/qn1p4/2pP4/2P1P1P1/2B2PP1/1N1QK2R b K - 1 19,a5a1 c2h7 f6h7 c6e7 g8h8 h1h7 h8h7 d1h5,2391,99,96,181988,anastasiaMate attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/pWIYiZ87/black#38,Horwitz_Defense Horwitz_Defense_Other_variations
YzvPL,r1b1r1kb/3n3n/p2pN1pB/q5P1/1pBPP3/2p5/PPPQ4/1K1R2NR b - - 0 21,c3d2 e6c5 d6d5 c4d5 e8e6 d5e6,2316,85,93,174044,bodenMate discoveredAttack discoveredCheck exposedKing interference long mate mateIn3 middlegame,https://lichess.org/IlgYGFuA/black#42,
m8jTK,r4rk1/ppp2ppp/1bbp1n2/5q2/2P5/1PN3P1/P3NPBP/R1BQR1K1 w - - 0 14,g2c6 f5f2 g1h1 f6g4 c6g2 f2g1 e1g1 g4f2,2369,84,94,171403,attackingF2F7 kingsideAttack mate mateIn4 middlegame sacrifice smotheredMate veryLong,https://lichess.org/rUEgFy89#27,English_Opening English_Opening_Kings_English_Variation
bmWPF,3r2r1/5ppk/2p4p/1p1nPP1N/5R2/3R2QP/6PK/1q6 b - - 3 36,d5f4 g3g7 g8g7 h5f6 h7h8 d3d8 g7g8 d8g8,2389,86,93,160718,arabianMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/H6FkQQEf/black#72,
TdV4v,r1b3kr/1p3Rb1/p2pP1Bp/2pPn3/8/2N3P1/PP4PP/5RK1 b - - 2 21,e5g6 f7g7 g8g7 f1f7 g7g8 c3e4 c8e6 d5e6 h8h7 e4f6 g8h8 f7h7,2348,78,93,156973,arabianMate attraction exposedKing fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/qGYhpasf/black#42,
YKANb,r1b1k1r1/ppN2p2/4p3/2QpPp2/8/7q/PP4P1/n1B2RK1 b q - 1 19,e8d8 c1g5 g8g5 c5f8 d8c7 f8d6,2313,84,94,156419,dovetailMate exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/K3vkkdri/black#38,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
c9taj,5k2/p4N2/2p2bQ1/8/2P4P/1P2q3/P5P1/7K w - - 1 37,f7g5 e3e1 h1h2 f6e5 g2g3 e1g3 h2h1 g3h2,2328,80,92,150969,endgame mate mateIn4 veryLong,https://lichess.org/ZYQvqrRx#73,
4EZmc,r1q1r3/pp6/8/2k5/2P5/QP6/P5PP/3R2K1 b - - 3 40,c5b6 a3b4 b6c7 b4d6,2321,76,93,150599,dovetailMate endgame mate mateIn2 short,https://lichess.org/1b04gtD2/black#80,
LFB3O,8/6p1/2k5/2pp1p1p/pP3P2/P1PK4/5P1P/8 w - - 2 38,c3c4 c5b4 a3b4 a4a3 c4d5 c6d5 d3c3 a3a2 c3b2 d5c4 b2a2 c4b4,2341,82,91,136830,advancedPawn crushing endgame pawnEndgame veryLong,https://lichess.org/RGYXdFQY#75,
7Pz3c,4r1k1/5pp1/1R5p/pP1p2q1/Pb1n4/1Q1B2P1/4NPP1/6K1 w - - 0 27,e2d4 e8e1 d3f1 e1f1 g1f1 g5c1 f1e2 c1e1 e2f3 e1e4,2343,81,93,129609,attraction dovetailMate mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/yvzuDZlw#53,
9baKx,8/8/6Q1/3pk3/7P/2q3n1/P5P1/5R1K w - - 3 37,h1g1 c3d4 f1f2 g3e2 g1h2 d4h4,2371,95,96,19265,anastasiaMate endgame long mate mateIn3 pin,https://lichess.org/FimTg07r#73,
fvWF0,2k4r/pp1n2pp/5p2/1B1Q4/1b3B2/1P2P2P/1PK2PP1/4q3 b - - 3 27,h8d8 d5c6 b7c6 b5a6,2373,83,94,15280,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/0zXStUjg/black#54,
LN8Od,8/p1R2k1p/1p6/1P1NpNp1/1P1bPp1n/5P2/3r2PP/7K b - - 4 32,f7e8 f5g7 e8f8 g7e6 f8g8 d5f6 g8h8 c7h7,2359,78,94,15209,arabianMate endgame exposedKing mate mateIn4 veryLong,https://lichess.org/7zoWyt5v/black#64,
BusP0,8/kpp4p/5P2/8/1RQK2r1/1P1R4/P6P/4q3 w - - 11 41,d4d5 g4g5 d5d4 e1e5,2356,79,95,14798,dovetailMate endgame mate mateIn2 short,https://lichess.org/Zo4IAjMe#81,
uF0Nn,3k3r/ppp3R1/8/3Pp3/q1P1P3/P7/1P6/1K4Q1 b - - 2 35,a4c4 g1g5 d8c8 g5g4 c8b8 g7g8 h8g8 g4g8,2322,80,93,14198,backRankMate endgame mate mateIn4 veryLong,https://lichess.org/lkXbqWtu/black#70,
Qkq9v,5rk1/5ppp/pqN1pn2/3p4/3P4/1P1BPPP1/1P2KP2/2R4R b - - 2 18,b6b3 d3h7 f6h7 c6e7 g8h8 h1h7 h8h7 c1h1,2316,82,96,13988,anastasiaMate attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Dv3CeXcK/black#36,Slav_Defense Slav_Defense_Exchange_Variation
lxIiR,6k1/p3Qpp1/3r1r1p/7q/3P4/5P1P/P4P1K/2R3R1 b - - 10 33,h5f3 c1c8 g8h7 c8h8 h7h8 e7f8 h8h7 f8g7,2305,75,95,13907,attraction endgame mate mateIn4 sacrifice veryLong,https://lichess.org/ZnylG6ju/black#66,
dJRwN,1r3q2/pb4pk/1r4np/4Np2/2Q2P2/b1N3P1/PPPB3P/2KRR3 w - - 6 28,e5d7 a3b2 c1b1 b2c3 d7b6 c3d2,2365,80,94,13628,advantage discoveredAttack discoveredCheck long middlegame queensideAttack,https://lichess.org/CUYFh3nZ#55,
Jqika,1Q6/3krp2/p2p1b1p/4nP2/7P/qB6/P1P5/1K1RR3 w - - 3 28,d1d5 a3b2 b1b2 e5c4 b2c1 e7e1 d5d1 f6b2 c1b1 e1d1,2383,84,93,13289,attraction deflection discoveredAttack discoveredCheck doubleCheck mate mateIn5 middlegame queensideAttack sacrifice veryLong,https://lichess.org/KFFMFjiF#55,
hVppi,Q7/1p2q1pk/p4p1p/3B4/Pb3P1P/1n1R2K1/1r3p2/8 b - - 3 34,f2f1q a8g8 h7g6 h4h5 g6h5 d5f7 e7f7 g8f7 g7g6 d3d5 f6f5 d5f5,2335,81,94,13086,attraction mate mateIn5 middlegame pin veryLong,https://lichess.org/bdT71rvc/black#68,
PNTB1,5rk1/p4ppp/5b2/5P1Q/1p6/q1p1R3/2B2PKP/8 b - - 1 28,a3c1 h5f7 f8f7 e3e8 f7f8 c2b3 g8h8 e8f8,2396,85,94,13058,backRankMate deflection endgame mate mateIn4 sacrifice veryLong,https://lichess.org/xn6Y9qb7/black#56,
LiYbe,3brrk1/1bq3np/p2PP1pQ/6p1/3N4/P2n4/1B4PP/2R2RK1 b - - 0 25,c7d6 h6g7 g8g7 d4f5 g7g8 f5h6,2304,75,93,12944,attraction discoveredCheck doubleCheck kingsideAttack long master masterVsMaster mate mateIn3 middlegame sacrifice,https://lichess.org/WM5yqodN/black#50,
Varaa,5rk1/pp4bp/3p2p1/3P4/5P1n/6NB/PPr1NK2/R3R3 w - - 7 33,a1c1 g7d4 f2f1 f8f4 e2f4 c2f2 f1g1 h4f3 g1h1 f2h2,2343,82,94,12899,arabianMate exposedKing fork mate mateIn5 middlegame pin sacrifice veryLong,https://lichess.org/xxnJ9h4O#65,
wJ6mp,rnb1r1k1/6p1/2p1pp1p/q2N4/1p1P4/3B1NB1/1PPQ2PP/1K1R3R w - - 1 19,c2c3 a5a1 b1c2 b4b3 c2b3 a1a4,2332,87,94,12736,attraction dovetailMate long mate mateIn3 middlegame queensideAttack,https://lichess.org/mBMoUM3D#37,French_Defense French_Defense_Paulsen_Variation
qmZ83,2r4r/p7/1p1R1k1p/4p3/2p2Np1/2Q1P1P1/PP3q2/2K5 b - - 1 33,f6f5 c3e5 f5e5 d6e6 e5f5 e3e4 f5g5 e6g6,2318,79,94,12580,attraction endgame hookMate mate mateIn4 sacrifice veryLong,https://lichess.org/EkFKaPMb/black#66,
RYMvt,2k2r2/ppp1nNpp/1b2p3/1P6/4Qnq1/3P4/PBP2PPP/RN3RK1 w - - 3 17,f7e5 f4h3 g1h1 h3f2 f1f2 g4d1 e4e1 d1e1 f2f1 e1f1,2301,78,93,12511,deflection fork mate mateIn5 middlegame pin sacrifice veryLong,https://lichess.org/xPeEGLma#33,Italian_Game Italian_Game_Evans_Gambit_Declined
