PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
WHaGr,r2q3k/pp3r1p/5pR1/3ppQ1N/8/8/PPP5/2K4R b - - 0 27,h7g6 f5g6 f7h7 g6g7 h7g7 h5f6 g7h7 h1h7,2649,112,94,12912,arabianMate discoveredAttack discoveredCheck endgame exposedKing mate mateIn4 sacrifice veryLong,https://lichess.org/PzVgBMkR/black#54,
Y6pva,5rk1/6q1/4Rb1p/Q5pB/5r2/P1pP3P/2P2Pp1/4R1K1 w - - 1 35,a5b6 f6d4 b6d6 d4f2 g1g2 f2e1,2659,97,91,11003,advantage fork long middlegame,https://lichess.org/OYGFh41I#69,
POirN,r2q1r2/pp3p1k/2npb1pp/6NQ/8/1P1B3P/P2N1PP1/R5K1 b - - 1 18,h7g7 g5e6 g7g8 e6d8,2674,87,92,9779,crushing middlegame short,https://lichess.org/yb5eSSlO/black#36,Sicilian_Defense Sicilian_Defense_Delayed_Alapin
hMndt,r1bq1rk1/pppnb1pp/2n1pp2/4P1N1/3P3P/P1NB4/1P3PP1/R1BQK2R b KQ - 1 12,f6g5 d3h7 g8h7 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2611,84,92,9441,attraction discoveredAttack discoveredCheck intermezzo kingsideAttack mate mateIn5 opening sacrifice veryLong,https://lichess.org/6CrmeQp4/black#24,Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation
pF3B9,5q1k/8/p2b2Qp/1pp1p1pP/4P3/1P4P1/P1P2r2/3R2K1 w - - 0 33,d1d6 f2f1 g1h2 f8f2 h2h3 g5g4 h3h4 f2h2 h4g4 h2e2 g4h3 f1h1,2653,83,91,9180,endgame exposedKing mate mateIn5 veryLong,https://lichess.org/1hJqGYxs#65,
bRHvc,6k1/pQ2R1pp/2p5/2Pp1r2/3P1BnP/5qP1/PP5K/3N4 w - - 3 31,h2h3 f3f1 h3g4 f5f4 g3f4 f1g2 g4f5 g2g6 f5e5 g6f6,2600,91,94,9125,fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/Gla545mO#61,
0qhPZ,r1b2rkR/pp4p1/4p1Q1/q2pPpP1/2pn4/2b5/PPP1BPP1/2KR4 b - - 1 19,g8h8 d1h1 h8g8 g6h7 g8f7 e2h5 f7e7 h7g7 f8f7 g7f7 e7d8 f7f8 d8c7 f8d6,2656,93,92,9111,deflection dovetailMate kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/cmHDlRhv/black#38,French_Defense French_Defense_Classical_Variation
UDKdl,7r/p1k1q3/2p1p3/4Pp2/3B1n2/P6p/5PP1/1R1Q1RK1 w - - 2 27,d1a4 f4e2 g1h1 h3g2 h1g2 e2f4 g2f3 h8h3 f3f4 e7h4,2613,91,92,8380,advancedPawn attraction discoveredCheck doubleCheck mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/Ouufd3EK#53,
USp8k,4rr1k/1p1R4/p1n4p/3Q1pq1/P7/2PB3P/1P6/6RK b - - 0 32,g5e3 g1g8 f8g8 d7h7 h8h7 d5f5 h7g7 f5g6 g7h8 g6h7,2650,110,93,8337,attraction exposedKing mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/0zSX8FQE/black#64,
vpgZR,rq3rk1/1pp1QNbn/p5p1/8/2B5/8/PP4PP/5RK1 b - - 0 21,b7b5 f7e5 b5c4 e7e6 f8f7 e6f7 g8h8 e5g6,2616,89,94,8330,discoveredAttack discoveredCheck exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/imD63AsC/black#42,
D0GLd,8/5k2/7K/1p4P1/4Pp2/p1Nn1P2/8/8 b - - 1 52,b5b4 g5g6 f7e7 g6g7 b4c3 g7g8q,2662,87,91,7891,advancedPawn crushing endgame knightEndgame long master promotion,https://lichess.org/YGrmflQK/black#104,
8Yd8Z,rn3r1k/5p1P/p2p2p1/1p1P1bN1/1Q1Bp1p1/P7/2q1BP2/2b1K2R b K - 1 21,f7f6 d4f6 f8f6 g5f7 f6f7 b4d4 f7g7 d4g7 h8g7 h7h8q g7f7 h1h7,2615,92,93,7555,advancedPawn attraction exposedKing kingsideAttack mate mateIn5 middlegame promotion sacrifice veryLong,https://lichess.org/CJU1wKlN/black#42,
0g5p7,r1k1r3/pp1n2pp/2R5/B2b1pN1/4B2q/5P2/1P2Q3/2R2K2 b - - 0 26,b7c6 c1c6 d5c6 e2a6 c8b8 a5c7 b8c7 a6c6 c7d8 g5f7 d8e7 c6d6 e7f7 e4d5 e8e6 d6e6 f7f8 e6f7,2646,96,92,7396,attraction exposedKing fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/A6qmAmax/black#52,
HzXDa,r2qk2r/ppp2pp1/3b1n2/Q6p/3np2P/2N3P1/PPPP1P2/RNB2RK1 b kq - 5 13,d4c2 a5a4 d8d7 a4c2 d7h3 d2d4,2619,110,93,7389,advantage defensiveMove fork long middlegame,https://lichess.org/shcJhsHQ/black#26,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
cE21u,r2q1r2/pp2np1p/6p1/3P4/2P4k/5B1P/P4PP1/2B1R1K1 b - - 9 24,f7f5 g1h2 f5f4 e1e5 e7f5 c1f4 d8g5 g2g3 g5g3 f2g3 f5g3 f4g3,2692,96,93,7286,interference master masterVsMaster mate mateIn5 middlegame veryLong,https://lichess.org/EWCKgEXX/black#48,
XPOWA,rn1qkb1r/ppp2ppp/3p4/6B1/2BPn1b1/5N2/PP3PPP/RN1QK2R b KQkq - 1 7,g4f3 c4f7 e8f7 d1b3 d6d5 g5d8,2603,113,90,7191,attackingF2F7 attraction crushing fork long opening sacrifice,https://lichess.org/Sg4EDawm/black#14,Philidor_Defense Philidor_Defense_Other_variations
1jUnZ,2r2rk1/3qpp1p/3p4/2p2p1Q/1p2P3/3P1R1P/2P3P1/5R1K b - - 0 25,f7f6 f3g3 g8h8 h5h7 h8h7 f1f4 d7e8 f4h4 e8h5 h4h5,2679,94,93,6977,endgame kingsideAttack mate mateIn5 sacrifice veryLong,https://lichess.org/eVV2l00D/black#50,
tBQlw,8/5p2/p3k1pp/1p6/1P1K1PPP/8/P7/8 b - - 1 41,e6d6 g4g5 h6h5 d4e4 d6e6 f4f5 e6d6 a2a3 g6f5 e4f5,2654,117,91,6976,crushing endgame exposedKing master pawnEndgame quietMove superGM veryLong zugzwang,https://lichess.org/uNa75dWX/black#82,
LVIIl,6rk/6N1/7P/pp2p1R1/4P3/2n1KPN1/r7/7R w - - 0 32,g3f5 a2e2 e3d3 g8d8 f5d6 d8d6 d3c3 e2d2 f3f4 d6d3,2685,92,93,6859,blindSwineMate mate mateIn5 middlegame quietMove veryLong,https://lichess.org/w1MWkJOb#63,
MB0MI,1r2qrk1/2p5/3p1p2/p1bPpNp1/1p6/1P1P1P1R/P1P1K2R/8 b - - 1 38,g8f7 h3h7 f7g6 f5g3 g5g4 h2h6 g6g5 h7g7 g5h6 g3f5 h6h5 f3g4,2608,87,93,6843,mate mateIn5 middlegame quietMove sacrifice veryLong,https://lichess.org/0xLiTWVA/black#76,
Thaz7,8/8/8/4p3/3p3P/r4kP1/4RP2/4K3 w - - 10 60,e2d2 d4d3 h4h5 e5e4,2600,105,91,6765,crushing defensiveMove endgame master rookEndgame short superGM,https://lichess.org/kUF2UJo1#119,
CbRO3,2b1r3/6k1/pR1B2p1/3B2qp/2P5/PQ4p1/7P/6K1 w - - 0 33,d6g3 e8e1 g1g2 c8h3 g2h3 g5f5 h3g2 f5f1,2675,100,91,6712,attraction dovetailMate mate mateIn4 middlegame pin sacrifice veryLong,https://lichess.org/4YcvrYdu#65,
UYHNp,3r4/pR5p/2n1Q2k/2P2p2/5P2/4n3/P3q1PP/6K1 b - - 2 33,h6h5 b7h7 h5g4 h7h4 g4h4 e6f6 h4h5 f6g5,2676,90,93,6685,attraction endgame fork mate mateIn4 sacrifice veryLong,https://lichess.org/xfTygz52/black#66,
Z3r5H,1r5Q/2k5/5Q2/p1bpP3/8/8/1qP4P/2KR1B1R w - - 0 39,c1d2 b2d4 d2e1 d4c3 d1d2 b8b1 e1e2 c3e3,2651,91,93,6675,mate mateIn4 middlegame pin veryLong,https://lichess.org/Kbd79fI4#77,
LJdR8,8/7p/6pk/1QpBp3/4Pq1b/2PP3P/6P1/6K1 w - - 3 34,b5c5 f4c1 g1h2 h4g3 h2g3 c1f4,2643,93,92,6657,attraction dovetailMate endgame long mate mateIn3 sacrifice,https://lichess.org/FetwiYne#67,
yNqiw,r1bq1rk1/pp2bpp1/2n4p/8/2P1B2P/1P2p1P1/PBQ1P3/3R1RK1 b - - 2 18,d8a5 e4h7 g8h8 b2g7 h8g7 f1f7 g7h8 c2g6 a5e5 f7f8 e7f8 g6g8,2609,87,92,6656,attraction kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/MJ78RlCQ/black#36,Catalan_Opening Catalan_Opening_Closed
uQpWV,1k5r/ppb3Q1/8/2q3Bp/6n1/2NP1nP1/PP3r1P/R2RN1K1 w - - 2 26,e1f3 f2f1 g1g2 c5g1 g2h3 g4f2 h3h4 c7g3 h2g3 g1h1 f3h2 h1h2,2639,92,92,6600,discoveredCheck doubleCheck fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/KJLaUr5Q#51,
P11Jm,3r1k2/1p3p2/p2p1qp1/2pPnn2/P1P1B3/1P5P/4N1PK/4QR2 w - - 10 39,e2g3 e5g4 h2g1 f6d4 g1h1 g4f2 e1f2 d4f2 f1f2 f5g3 h1h2 g3e4,2603,86,92,6588,capturingDefender crushing fork middlegame veryLong,https://lichess.org/OBdzp8QB#77,
BPbBO,1Bk2br1/1p1r1bq1/pn3p1p/1N1p4/3P1QBP/8/PPP3P1/R3R1K1 b - - 5 25,g7g4 e1e8 f7e8 b5a7 c8d8 f4f6 d7e7 f6b6 d8d7 b6d6,2699,94,93,6581,fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/kFFg5Ov4/black#50,
J2Qnk,r6k/b1p4p/p2p1RBB/1p1N4/4PQ1n/7q/PPP3rP/5R1K b - - 0 26,h4g6 h6g7 h8g7 f6f7 g7g8 d5e7 g6e7 f7f8 a8f8 f4f8,2650,90,93,6553,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/kk7Xni1F/black#52,
