PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Jgeir,5r1k/pp2Nrpp/2p5/8/3nRp1Q/3q4/6PP/4R2K b - - 1 32,f4f3 h4h7 h8h7 e4h4,1538,83,90,231915,anastasiaMate attraction master masterVsMaster mate mateIn2 middlegame sacrifice short superGM,https://lichess.org/kb2WRhEU/black#64,
Ay91v,3QRb2/p4pkp/1p4p1/2qP4/8/1P6/P1r2PPP/5RK1 w - - 7 30,d8d7 c5f2 f1f2 c2c1 f2f1 f8c5 e8e3 c5e3 g1h1 c1f1,1503,86,92,228608,backRankMate endgame mate mateIn5 sacrifice veryLong,https://lichess.org/B1TCJHxj#59,
s3TP3,8/pp6/8/2P3p1/PP3p2/5KPk/8/8 w - - 0 46,g3f4 g5g4 f3f2 h3h2 f4f5 g4g3,1548,67,92,222444,crushing endgame long pawnEndgame,https://lichess.org/eWXJsrZu#91,
FSGUl,5r1k/8/3p3p/5RpP/5KP1/3Q1P2/8/4q3 w - g6 0 56,h5g6 e1e5,1532,94,84,218402,endgame mate mateIn1 oneMove pin,https://lichess.org/wFoaCTu7#111,
xet7i,1r4k1/4b1pp/p2p1p2/2rP2P1/3Q3P/n1B2P1B/PPq5/K2R2R1 w - - 3 29,g5f6 c2b1 d1b1 a3c2,1569,85,90,211851,mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/ZfAtVvTw#57,
0cnup,5r2/6k1/8/R1RPpK2/8/5P2/8/4r3 w - - 1 48,f5g4 e1g1 g4h3 f8h8,1537,85,75,184986,endgame mate mateIn2 rookEndgame short,https://lichess.org/r9EVWccL#95,
9bLHp,2k4r/1ppq4/1b2p3/PN2p1Q1/P3P2r/3P4/2P1n1PP/R4RBK w - - 1 22,a5b6 h4h2 g1h2 h8h2 h1h2 d7h7 g5h6 h7h6,1532,84,90,162952,anastasiaMate attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/xdDIlqB5#43,
AqDzJ,1r4rk/1p1P1ppp/p5q1/4Q3/8/2BR2Pb/PP3P1P/4R1K1 b - - 0 31,g6d3 e5g7 g8g7 e1e8 b8e8 d7e8q,1549,79,89,155213,advancedPawn clearance kingsideAttack long mate mateIn3 middlegame pin promotion sacrifice,https://lichess.org/8aSqlWjY/black#62,
YvYPL,r1b2r1k/4Nppp/p2p4/1pq1n1PQ/4R3/2P5/PP5P/2K2B1R b - - 0 19,c8b7 h5h7 h8h7 e4h4,1581,82,90,147197,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/7uwb3WvC/black#38,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
YTqIT,r1r3k1/5ppp/p2p1b2/4p2P/bQ2P3/1N2BP2/1qPK4/1N1R2R1 w - - 0 24,b4a4 b2c2 d2e1 f6h4 e1f1 c2d1,1517,80,89,133126,crushing deflection long middlegame,https://lichess.org/M3Cpp8Ba#47,
la3xw,r1b3k1/p5pp/1pp1p2r/4P3/1P1P1p1q/P2B2N1/3BQPP1/R4RK1 w - - 1 22,f1e1 h4h2 g1f1 h2h1 g3h1 h6h1,1543,88,89,132023,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/cEvELgzd#43,
UEDZ7,2kr4/p1p2p2/2p2q1p/2p1p2r/4P1b1/2PPRN2/PP3PP1/R2Q1K2 w - - 3 18,d1a4 h5h1 f1e2 h1a1,1576,82,75,125346,crushing master middlegame short skewer,https://lichess.org/Pdz8Zytr#35,Four_Knights_Game Four_Knights_Game_Italian_Variation
3Bt6U,5q1k/1p4np/1np2ppN/p3p3/Pr2P1QP/5P2/4N1P1/3R3K b - - 0 31,g7h5 d1d8 f8d8 h6f7 h8g8 f7d8,1556,90,88,108493,advantage attraction fork long middlegame pin sacrifice,https://lichess.org/lcpT0SaL/black#62,
jiz8T,r7/pb3kbp/1p1p2p1/2npP3/2P5/1PN1P1qP/PBQRB1P1/6K1 w - - 0 23,e2f3 g3e1 g1h2 g7e5,1535,84,84,88619,crushing kingsideAttack master middlegame short,https://lichess.org/ioOWMPIl#45,
ypV34,r2q1rk1/pp2ppbp/2p3P1/4N3/2BP4/1Pn1PQ2/P4P1P/2K4R b - - 0 17,h7g6 c4f7 f8f7 f3f7 g8h7 f7g6,1522,81,82,80683,advantage kingsideAttack long middlegame,https://lichess.org/Ed6SAgiX/black#34,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations
UuSMb,5K2/4P3/4k1b1/8/p1p1p3/P5Bp/1P3P2/8 w - - 2 54,e7e8q g6e8 f8e8 e6f5 e8e7 f5g4 g3d6 g4f3,1514,77,95,52383,crushing endgame veryLong,https://lichess.org/oah7W7Wa#107,
4YFq6,3r2k1/r1p1n1b1/1p2b1pp/1P2pp2/2P4P/P3pNP1/1B3PB1/2R1R1K1 w - - 0 20,f3e5 e3f2 g1f2 d8d2 f2f1 d2b2,1557,75,96,52193,advancedPawn attraction crushing fork long master middlegame,https://lichess.org/bIRR9IJM#39,
Ql5GI,4R3/p4p1k/6pp/5Q2/P7/2P3P1/q2r1P1P/6K1 w - - 0 28,f5f6 d2d1 g1g2 a2d5 f6f3 d1g1 g2g1 d5f3,1571,76,94,51777,advantage deflection endgame veryLong,https://lichess.org/Ptwz3NFm#55,
PcSpL,r1bqkb1r/pp2pp1p/n1p2p2/1B1P4/8/P7/1PP2PPP/R1BQK1NR w KQkq - 0 9,d5c6 d8a5 b2b4 a5b5,1596,77,96,51776,advantage fork opening short,https://lichess.org/F4JMHguR#17,Van_Geet_Opening Van_Geet_Opening_Berlin_Gambit
Wuix3,8/5p2/8/5Pp1/2P1K3/7k/8/8 w - - 2 61,e4f3 g5g4 f3f2 h3h2 c4c5 g4g3 f2e2 g3g2,1594,73,95,50335,advancedPawn crushing endgame exposedKing pawnEndgame veryLong,https://lichess.org/O492z68I#121,
iCcGQ,5rk1/5ppp/p5N1/1p2P3/3q3R/1P3QPK/5r2/7R b - - 1 31,d4h4 g6h4 f2f3 h4f3,1566,75,95,50276,advantage endgame short,https://lichess.org/x2n7hk6Y/black#62,
CUzdk,1k4r1/1bpR2Bp/p1n5/1p6/5Q2/8/q1P2P1P/2K5 b - - 4 27,c6a5 f4c7 b8a7 g7d4 a7a8 d7d8 g8d8 c7d8 b7c8 d8c8,1516,76,97,49040,mate mateIn5 middlegame veryLong,https://lichess.org/Hn1RX2JE/black#54,
7cZRT,8/8/8/4pRP1/2p5/2kp4/2p5/2K5 w - - 2 54,f5f2 e5e4 g5g6 e4e3 f2c2 d3c2 g6g7 e3e2 g7g8q e2e1q,1565,74,97,49010,advancedPawn endgame mate mateIn5 promotion quietMove rookEndgame veryLong,https://lichess.org/mv5xURhe#107,
eFpx0,4R2k/pp1r1rp1/5pRp/3q4/8/6QP/P4PP1/6K1 b - - 2 31,h8h7 g6h6 g7h6 g3g8,1562,73,95,48932,clearance endgame mate mateIn2 sacrifice short,https://lichess.org/krIVFwDs/black#62,
1HVAi,r5k1/bbpp1pNp/pq6/1p1P4/1P2Q3/P4N2/1B3nPP/R4RK1 w - - 0 21,f1f2 b6f2 g1h1 f2b2 a1e1 b2g7,1580,77,95,48503,crushing fork long middlegame,https://lichess.org/YuVTV9e8#41,
NlamC,rnbqkb1r/pp3ppp/5n2/3Np3/3pP3/6P1/PP1P1PBP/R1BQK1NR b KQkq - 1 7,c8g4 d5f6 d8f6 d1g4,1535,75,95,48300,advantage opening short,https://lichess.org/qMCBeHbx/black#14,English_Opening English_Opening_Kings_English_Variation
nJuAW,8/8/P1K5/3nk3/8/8/8/8 b - - 0 60,d5e7 c6b7 e5d4 a6a7,1513,79,95,47957,advancedPawn crushing defensiveMove endgame knightEndgame short,https://lichess.org/aCf3v6Uz/black#120,
p3j6T,q3r1k1/1b3Bp1/1n1b3p/1pp1N3/5n2/2PP3P/1P3PPN/3QR1K1 b - - 0 19,g8h8 e5g6 f4g6 e1e8 a8e8 f7e8,1581,77,95,47945,crushing discoveredAttack fork long middlegame,https://lichess.org/RpZJcgt6/black#38,Philidor_Defense Philidor_Defense_Other_variations
BQg6l,6k1/pp2R1bp/2pp2p1/8/2PP2b1/1PB3P1/r5BP/6K1 b - - 3 30,c6c5 g2d5 g8f8 e7f7 f8e8 f7g7,1503,75,96,47460,advantage deflection endgame long master,https://lichess.org/xVefYQhR/black#60,
TSrzv,6rk/p2qb2p/1p1p2r1/4p3/2PpNp2/3P3P/PP3QBK/R5R1 w - - 12 30,g2f3 d7h3 h2h3 g6h6 f3h5 h6h5 f2h4 h5h4,1511,73,95,46995,attraction mate mateIn4 middlegame operaMate sacrifice veryLong,https://lichess.org/ZvpEyvKZ#59,
2l5xq,6k1/1p3pp1/p1p1r1qp/3p4/3P1N2/1b2PQ1P/1P1b1KP1/1RR5 b - - 11 28,d2e3 f3e3 e6e3 f4g6,1505,76,94,46465,advantage middlegame short,https://lichess.org/yZ2skANK/black#56,
hGqQI,2kn4/3b2R1/3P1rp1/2BBpp2/8/8/2PK1PP1/8 w - - 5 43,c5b6 f6d6 b6d8 d6d5,1524,79,95,46252,advantage endgame fork pin short,https://lichess.org/cCYMRmcq#85,
DaszE,8/5Rpp/k1p2n2/p7/N6K/rP3P2/8/8 b - - 2 34,a6b5 f7b7 b5a6 a4c5,1574,80,97,46094,endgame mate mateIn2 short,https://lichess.org/XV2VnLHl/black#68,
JYT4R,8/3Q1rk1/8/1p1Pp2q/8/2P2rp1/PP4P1/R4RK1 w - - 1 36,d7h3 f3f1 a1f1 f7f1 g1f1 h5d1,1584,79,96,46025,attraction endgame long mate mateIn3,https://lichess.org/Rmu9NEe5#71,
yJgpm,4r3/pp3k1p/4qnp1/2rp1p2/3B1P2/P3PB1P/5P1K/3Q2R1 b - - 1 27,c5c4 d4f6 e6f6 f3d5 f7g7 d5c4,1537,74,94,45637,capturingDefender crushing fork long middlegame,https://lichess.org/1ypU8viN/black#54,
9knkv,8/5n1p/4kpp1/3Rp3/1p1bP3/1N5P/1P3rP1/1R2K3 b - - 7 34,f2b2 b3d4 e5d4 b1b2,1511,80,95,45594,crushing endgame intermezzo short,https://lichess.org/Lqe1XK8s/black#68,
dMGyX,r5k1/5qpp/b1p4r/p1P1P3/1p6/1P3pPB/P1Q4P/3RR1K1 w - - 2 29,e5e6 f3f2 c2f2 f7f2 g1f2 h6h3,1580,76,94,45570,advancedPawn advantage fork long master middlegame,https://lichess.org/4x9TP497#57,
qO9S3,3rk2r/1bq2ppp/p1nbp3/1p2p3/4B3/5NB1/PPPQ1PPP/3RR1K1 b k - 2 16,d6b4 e4c6 b7c6 d2b4,1502,80,95,45533,advantage middlegame short,https://lichess.org/wGxKMvaQ/black#32,Sicilian_Defense Sicilian_Defense_Kan_Variation
79NI0,r3k2r/p1qp1pp1/1pn1p3/1Bb1P2p/5B2/2N2P2/PPPQ3P/2KR4 b kq - 4 15,e8c8 b5a6 c8b8 c3b5 d7d6 b5c7,1535,77,94,45487,crushing long middlegame queensideAttack trappedPiece,https://lichess.org/NRu3IZPv/black#30,Sicilian_Defense Sicilian_Defense_Nimzowitsch_Variation
