PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
lIIqN,6k1/5pb1/2b1p1p1/2pqP3/3pNBP1/1r1P1PK1/7Q/7R b - - 1 29,b3d3 h2h7 g8f8 h7g7 f8g7 f4h6 g7h8 h6g5 h8g8 e4f6 g8f8 h1h8 f8e7 f6d5 e7d7 h8d8,2812,96,93,8723,attraction discoveredAttack discoveredCheck doubleCheck fork mate mateIn5 middlegame operaMate sacrifice veryLong,https://lichess.org/UhdnoGXs/black#58,
42guN,Qn3rk1/p7/2p1pq2/5nBp/6pK/3P2P1/PP2NP1P/R3R3 w - - 4 24,h4h5 f5g7 h5h4 f6g6 e2f4 f8f4 a8b8 g8h7 b8h8 h7h8 g3f4 g6h5 h4g3 h5h3,2837,99,92,6262,mate mateIn5 middlegame veryLong,https://lichess.org/BYYWwm4m#47,
bkXQW,5n2/pp2qpk1/1rr1bRB1/3pP1Pp/3P1N1P/8/PP2Q3/1K3R2 b - - 0 30,f7g6 f6f8 e6g4 e2f2 g4f5 f8f5,2866,104,92,5502,advantage long master masterVsMaster middlegame quietMove superGM,https://lichess.org/8Th5UmHs/black#60,
zEuVV,rn1q1rk1/1bp1b1pp/1p1pp3/5p2/1PPPn3/2NQ1NP1/4PPBP/1RB1K2R w K - 2 12,f3d2 e4f2 e1f2 b7e4,2847,99,93,4858,attackingF2F7 clearance collinearMove crushing opening sacrifice short,https://lichess.org/bTJ6w5ZA#23,Dutch_Defense Dutch_Defense_Classical_Variation
wJwhF,rnbqkb1r/pp1p1pp1/2p4p/8/2BPnB2/5N2/PPP3PP/RN1Q1RK1 b kq - 0 7,f8e7 f3e5 d7d5 e5f7 e8f7 f4c7,2881,106,92,4709,attackingF2F7 crushing discoveredAttack discoveredCheck long opening sacrifice,https://lichess.org/dClJnzDs/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
OkehP,r4r2/3k4/ppN4p/3p2p1/4n1P1/P2QP2P/1q2KP2/2R2R2 w - - 0 27,e2d1 f8f6 c6b4 e4f2 f1f2 b2f2,2817,100,91,4426,advantage exposedKing fork long middlegame,https://lichess.org/QR86Frwv#53,
WqLgb,6k1/p1p1qpp1/2p4p/3r1b2/6r1/1PB1PN2/PQ3PPP/R4RK1 w - - 2 20,a1d1 g4g2 g1g2 e7e4 b2e2 e4g4,2872,107,91,4382,advantage kingsideAttack long middlegame sacrifice,https://lichess.org/vJCcBguY#39,
SITBi,2r2rk1/1pqbppb1/3p1nQ1/2n1P3/2BN4/1pP1BP2/3N2P1/1K1R3R b - - 0 22,c7a5 h1h8 g8h8 d1h1 h8g8 e5f6 a5a2 b1c1 b3b2 c1d1 d7a4 d1e1 c5d3 g6d3,2808,118,89,4339,attraction crushing middlegame pin sacrifice veryLong,https://lichess.org/Si6gdRTR/black#44,
Op4qf,r1bqnr1k/pp2bppB/4p3/4N1N1/2Pp4/8/PP4PP/R1BQK2R b KQ - 0 13,e7g5 e1g1 g5c1 f1f7,2814,106,90,4306,advantage castling opening sacrifice short,https://lichess.org/P9noKHWO/black#26,Indian_Defense Indian_Defense_Normal_Variation
tlVsr,4bk2/7R/p7/P2p1pp1/3P2p1/2P1K1Pp/1P3P2/8 w - - 0 47,e3e2 e8g6 h7h6 f8g7 h6g6 g7g6 e2f1 f5f4 b2b4 g6f5 f1g1 f5e4 b4b5 e4f3 g3f4 h3h2 g1h2 f3f2 b5b6 g4g3,2890,109,90,4258,advancedPawn crushing deflection endgame trappedPiece veryLong,https://lichess.org/JONcRSqi#93,
liJia,r2k4/p3bQ2/1p1pP3/4p1r1/1PP2pn1/P4qP1/5P1B/3R1RK1 b - - 0 32,g4h2 d1d6 d8c8 f7e8 c8b7 d6d7 b7a6 e8c8 a8c8 b4b5 a6a5 d7a7,2876,111,89,4250,collinearMove deflection exposedKing fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ggEYNpXN/black#64,
1rQBp,8/5p2/6p1/5P1n/4P1K1/7P/Nk6/8 b - - 0 52,b2a2 e4e5 a2b3 g4g5 h5g3 e5e6 f7e6 f5g6,2869,102,90,4209,crushing deflection endgame knightEndgame quietMove veryLong,https://lichess.org/BofpPyP5/black#104,
2KAhn,4r3/6kp/p4Rp1/1pq3P1/3pB3/3Pp2P/PP2Q3/6K1 w - - 7 36,f6a6 e8e4 d3e4 d4d3 e2g4 c5c1,2842,108,90,3963,advantage endgame long sacrifice,https://lichess.org/TGiFCjMF#71,
YNp1s,r7/2P3R1/1K5p/p6k/P7/5p2/8/8 b - - 1 46,a8f8 g7g1 h5h4 g1h1 h4g3 h1h6 f3f2 h6h1,2828,120,88,3880,advantage defensiveMove endgame quietMove rookEndgame skewer veryLong,https://lichess.org/RE5kZL1c/black#92,
Subxd,r1b2rk1/ppq1bppp/2n1p1n1/3pP3/8/1PN2NB1/P1P1BPPP/R2QR1K1 b - - 10 13,g6e5 f3e5 c6e5 c3b5 c7b8 e2d3 f7f6 e1e5 f6e5 d1h5,2806,99,92,3869,advantage discoveredAttack opening sacrifice veryLong,https://lichess.org/iFqnOMLw/black#26,French_Defense French_Defense_Advance_Variation
