PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZmFWP,r4rk1/1p1R1pbp/2p3p1/p6b/2Q2B2/1BP1PP1q/PP3P2/2KR4 b - - 3 20,b7b5 c4f7 f8f7 b3f7 g8h8 d7d8 a8d8 d1d8 g7f8 f4e5,2491,95,95,172285,doubleBishopMate kingsideAttack mate mateIn5 middlegame pin sacrifice veryLong,https://lichess.org/yRU45J7O/black#40,
t194m,6r1/7R/2k5/1p2n2N/2p2N2/2P2r1P/PP1B1b1K/R7 w - - 7 38,f4e6 f2g1 a1g1 f3f2 h2h1 f2h2 h1h2 e5f3 h2h1 g8g1,2429,112,95,158120,arabianMate attraction clearance fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/kaSiirf1#75,
VOC8m,r7/p1k1p2q/1pp2p2/2n5/1P3b1P/Q7/P1P2PP1/3R1RK1 b - - 0 24,h7h4 g2g3 f4g3 f2g3,2427,82,94,25182,crushing fork middlegame short,https://lichess.org/UH3b04QL/black#48,
5B3ut,rrk2b2/1q1n4/4N1Q1/2p1P2p/5P1P/2n3P1/P6R/K1R3B1 w - - 0 39,e6f8 a8a2 h2a2 b7b2 a2b2 b8a8 g6a6 a8a6 b2a2 a6a2,2463,86,95,22464,arabianMate mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/YbJE1bdw#77,
zaRBK,r2qk1nr/ppp2ppp/3b4/4n3/6b1/3P1N2/PPPNP1PP/R1BQKB1R w KQkq - 3 7,h2h3 d8h4 f3h4 e5d3 c2d3 d6g3,2434,85,96,22081,clearance doubleBishopMate long mate mateIn3 opening sacrifice,https://lichess.org/vPrHrlv5#13,Bird_Opening Bird_Opening_Schlechter_Gambit
OvocR,3r3r/pp2bpk1/4qN2/6pP/1p1B3P/5R2/P1Q2P2/6RK b - - 0 32,d8d4 c2h7 h8h7 g1g5 g7h8 g5g8,2471,95,95,20271,arabianMate long mate mateIn3 middlegame pin sacrifice,https://lichess.org/BMuYR4HB/black#64,
fPvxJ,6k1/pp4pp/2pp2p1/2P3n1/2P5/3QP1qP/PP1B1rB1/R6K w - - 0 24,a1g1 g5f3 d3d6 g3g2 g1g2 f2f1 g2g1 f1g1,2409,86,94,15853,arabianMate exposedKing kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/5lWRlx1u#47,
klxFf,3r2k1/1b1P1ppp/2p3r1/pp2P3/4R3/2P2P2/PP3bnP/R2Q3K w - - 0 29,e4g4 g2e3 d1e2 e3g4,2471,99,90,14109,advantage fork middlegame short,https://lichess.org/Mk4d0Tc2#57,
Q0KAU,r2q2k1/pp4pp/2p5/3prB2/8/2P3P1/PPQ2P1P/R5K1 b - - 1 25,d8g5 f5h7 g8h8 f2f4 g5h5 f4e5,2402,82,94,14080,advantage endgame fork long,https://lichess.org/sOJoreuL/black#50,
aYUqj,2k1r3/ppp2p2/8/3p4/1P1Q4/2P2Brq/P2N1K2/R1B2R2 w - - 3 33,d4d5 g3g2 f3g2 h3e3,2485,85,94,13888,clearance dovetailMate mate mateIn2 middlegame sacrifice short,https://lichess.org/Fyl6oYRs#65,
Qrkwc,2r3k1/p2p1p2/1p6/2pN1pq1/QPP2P2/P2Pn3/4N1K1/2R2R2 w - - 1 27,g2f3 g5g2 f3e3 c8e8 e3d2 e8e2 d2c3 g2g7 d5f6 g7f6 d3d4 f6d4 c3b3 e2b2,2408,78,93,12979,killBoxMate master masterVsMaster mate mateIn5 middlegame sacrifice superGM veryLong,https://lichess.org/XbqD9hDd#53,
rT0JM,3R4/6pk/1p2r3/p1b5/8/1P2PQ2/P1q3PP/B5K1 w - - 2 33,f3g4 c2c1 d8d1 c1e3 g1h1 e3e1 d1e1 e6e1,2471,82,94,12755,backRankMate endgame fork mate mateIn4 pin sacrifice veryLong,https://lichess.org/h6wcmluY#65,
UMvyX,r6k/8/b2bQPP1/4p1P1/5q2/8/Pr5R/K6R b - - 0 35,b2h2 g6g7 h8h7 g7g8q a8g8 e6f7 h7h8 f7h5 h2h5 h1h5,2428,78,93,12014,advancedPawn exposedKing master masterVsMaster mate mateIn5 middlegame promotion sacrifice veryLong xRayAttack,https://lichess.org/NKE27zyg/black#70,
GtzZG,6k1/p7/1p4PP/2b2K2/r7/8/3pp3/7R b - - 0 43,e2e1q h6h7 g8f8 h7h8q f8e7 h1h7 e7d6 h8d8 d6c6 d8d7,2422,79,92,11974,advancedPawn deflection dovetailMate endgame exposedKing mate mateIn5 promotion veryLong,https://lichess.org/n51TzTIk/black#86,
OWzWz,rn3rk1/pp1b2p1/1qn1p3/3pP1PQ/3P4/P5P1/1P4K1/R1B3NR b - - 0 20,b6d4 h5h8 g8f7 g5g6 f7e8 h8f8 e8f8 h1h8 f8e7 c1g5,2452,83,94,11787,attraction kingsideAttack mate mateIn5 opening sacrifice veryLong,https://lichess.org/Rm9X6A8q/black#40,
pIYqB,rnbq1r2/pppnb1pk/4pp2/3pP1N1/3P3P/8/PPPN1PP1/R1BQK2R b KQ - 1 9,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2418,80,93,11762,attraction discoveredAttack discoveredCheck mate mateIn5 opening sacrifice veryLong,https://lichess.org/htySvgzf/black#18,French_Defense French_Defense_Tarrasch_Variation
xKeS4,8/4bp2/2p5/p1p1PkP1/P2p1P2/3R1R2/2r1N3/1r2BK2 w - - 4 40,d3d4 c5d4 e2d4 f5e4 d4c2 e4f3,2409,81,92,11742,advantage long master masterVsMaster middlegame pin,https://lichess.org/xAPFbNoO#79,
0f3zy,6k1/1R4pp/4pn1r/3pN3/3P1PK1/4P3/5r1P/4R3 w - - 7 40,g4g3 f6e4 g3g4 h6h4 g4h4 f2h2 h4g4 h7h5 g4f3 h2f2,2454,89,93,11733,attraction endgame hookMate master mate mateIn5 sacrifice veryLong,https://lichess.org/I87IMS2T#79,
wXcKI,r3r3/1p3p1Q/2p1bk1p/q1n5/1bP2p1N/pP2B1PP/P5B1/1R1R2K1 b - - 1 27,f4e3 h7h6 f6e7 h4f5 e6f5 h6d6,2428,96,94,11378,dovetailMate exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/QPX1rvyh/black#54,
aM7Lb,2rr2k1/p1q1b1p1/1p1pp2R/4R3/3Bp3/6Q1/2P2PPP/6K1 b - - 0 30,c7c2 h6h8 g8f7 g3g7 f7g7 e5g5 g7f7 g5g7,2404,77,94,10981,attraction discoveredCheck doubleCheck mate mateIn4 middlegame operaMate sacrifice veryLong,https://lichess.org/oq3cFkn8/black#60,
616DY,5k2/6b1/2p3pp/1pP5/1P3Bb1/2q5/2B2PKP/1Q6 w - - 0 30,c2g6 c3f3 g2g1 f3f4,2412,81,90,10926,crushing endgame fork master short,https://lichess.org/ldf0ldTB#59,
DwRgh,r1b1kbnr/ppp2pp1/2n1p2p/3p2BQ/8/2q2N2/P1PNBPPP/1R3RK1 b kq - 3 11,c6d4 h5f7 e8f7 f3e5 f7e8 e2h5 g7g6 h5g6,2466,81,93,10891,attackingF2F7 attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/44jg0d8e/black#22,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation
OenjV,r1b1kbnr/1p3ppB/p3p3/2qp1PBQ/6P1/4n3/P1P4P/4RR1K b kq - 0 17,e3f1 h5f7 e8f7 h7g6,2418,92,93,10853,attackingF2F7 attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/DyyeyQy8/black#34,French_Defense French_Defense_Paulsen_Variation
