PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
34rC0,rn2k1nr/1p3ppp/2pp1q2/p3P3/P1BP2Q1/2P5/2P2PPP/R4RK1 b kq - 0 13,h7h5 g4c8 f6d8 c4f7 e8f7 c8d8,1689,79,78,214649,attackingF2F7 crushing deflection long middlegame,https://lichess.org/mcGqI91P/black#26,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense
Lw2SF,8/pk5p/1p2Bpr1/4B3/4n3/2P1N2K/PP5P/8 w - - 1 34,e5g3 e4g5 h3g4 g5e6,1611,79,81,209963,advantage discoveredAttack discoveredCheck endgame fork short,https://lichess.org/9eNJNcjb#67,
9B36G,5r2/pp1knB1p/3Q4/8/8/2PR4/PP1KPP2/5qr1 b - - 0 23,d7c8 f7e6,1698,89,75,207775,mate mateIn1 middlegame oneMove,https://lichess.org/jHucX4zz/black#46,
6VZpZ,8/1P3R2/2k1p2r/3p4/3P4/7p/P4p1K/8 b - - 0 44,f2f1q b7b8n c6b6 f7f1,1600,89,92,202840,advancedPawn advantage endgame promotion short underPromotion,https://lichess.org/XDQ18gwT/black#88,
YUm77,r3r1k1/p2nbpp1/4p3/qp1p2PB/2pP1B1P/P1PbP3/1P1N1P2/2KQ2RR w - - 1 21,h5e2 a5c3 b2c3 e7a3,1657,88,92,193230,bodenMate deflection master mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/zQGQJFoP#41,
rI4hD,8/7p/p1N2pp1/1p1nk3/2n3P1/P3P2P/1P2K3/3N4 b - - 1 33,e5e4 d1f2,1638,86,71,189557,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/IkC75MnB/black#66,
KQNe6,8/8/8/3k2p1/5pP1/3K3P/5P2/8 w - - 1 45,d3c3 d5e4 c3d2 e4f3 h3h4 g5h4,1629,86,84,176113,advantage endgame long pawnEndgame,https://lichess.org/E2w2dz8O#89,
yqrBF,2kr3r/pp1n1pp1/2pBp1p1/6q1/Q2PP3/6P1/PP3P2/R4BK1 b - - 4 17,a7a6 a4c6 b7c6 f1a6,1644,86,92,173594,bodenMate deflection mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/DMS4Rj64/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
a2scz,6k1/p4p2/6p1/R7/5b2/1BP5/Pr3rPP/5RK1 w - - 0 26,f1f2 b2b1 b3d1 b1d1 f2f1 f4e3 g1h1 d1f1,1660,84,91,170409,backRankMate deflection endgame mate mateIn4 veryLong,https://lichess.org/cbcIcxwh#51,
iYTwX,2kr2r1/pp1npq2/2p4b/3n4/Q2P4/2PB2B1/PP3PPP/R3R1K1 b - - 1 19,a7a6 a4c6 b7c6 d3a6,1688,87,91,168082,bodenMate deflection mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/ZfqNJRs1/black#38,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
77jUb,r2qr1k1/pbp2pbp/1p4p1/8/1PB5/P3P2P/2QN1PP1/3R1RK1 w - - 2 18,c4b5 d8d5 d2f3 d5b5,1684,80,90,159847,advantage middlegame short,https://lichess.org/SzLe6P2v#35,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
R5BJX,r2q1rk1/5b1p/6p1/p2pQp2/1ppP1P1P/2P3R1/PP4P1/1B2R1K1 w - - 1 23,b1f5 f8e8 e5e8 f7e8,1619,79,89,157334,advantage middlegame short trappedPiece,https://lichess.org/NYTK8bX4#45,
aLT5f,r2k2N1/ppp2pQp/2n4n/2bPp3/2B3b1/8/PPPP1qPP/R1BK2NR w - - 1 11,c4e2 f2f1,1620,92,86,154876,mate mateIn1 middlegame oneMove pin,https://lichess.org/d2uGNxsF#21,Vienna_Game Vienna_Game_Stanley_Variation
r0qdL,3r3k/pp2RBbp/1nb3p1/2p3B1/3r4/2P4P/PP4P1/2K1R3 b - - 0 22,d4d7 e7e8 d8e8 e1e8 g7f8 g5f6,1643,87,93,152088,doubleBishopMate kingsideAttack long mate mateIn3 middlegame pin,https://lichess.org/9NzC5DCT/black#44,
S8quN,rnb2rk1/ppp2ppp/8/4P3/2B2Q2/8/PPP3qP/2KR2NR b - - 1 12,g2h1 f4f7 f8f7 d1d8,1641,84,91,150227,kingsideAttack mate mateIn2 middlegame pin sacrifice short,https://lichess.org/Bd7IshLn/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Polerio_Gambit
tXbIP,r5r1/ppk5/2n2p1B/2b1p3/2P3b1/5NP1/PP3PBP/3R1RK1 w - - 2 19,h2h3 g4f3 g2f3 g8g3 f3g2 a8g8,1698,79,91,149136,advantage clearance defensiveMove discoveredAttack kingsideAttack long middlegame pin,https://lichess.org/BVXNvtCR#37,Hungarian_Opening Hungarian_Opening_Sicilian_Invitation
LOKVa,5r1k/1p4pp/p3QNn1/3p4/q7/8/P1r3PP/4RR1K b - - 0 30,f8f6 e6e8 a4e8 e1e8 g6f8 e8f8 f6f8 f1f8,1660,86,87,141183,backRankMate mate mateIn4 middlegame veryLong xRayAttack,https://lichess.org/lmKCh1wW/black#60,
mhTIK,2b1kb1r/1p1p1ppp/r3p3/q1P5/4N3/P3P3/3Q1PPP/R3K1NR b KQk - 3 13,f8c5 e4c5 a5c5 a1c1,1662,80,89,140687,advantage middlegame short,https://lichess.org/R3r8hOGc/black#26,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted
QpOvd,4r2k/3R3p/r1N5/p5R1/Pp2p1P1/2b1P2P/5P2/6K1 w - - 1 30,c6e7 c3f6 g5f5 f6e7,1604,83,87,139218,advantage endgame short,https://lichess.org/u8IbPjdY#59,
b2X9d,6k1/5pp1/4p2p/4q3/2Qn4/BP5P/1P3PPK/8 w - - 2 34,h2h1 e5e1 h1h2 d4e2 c4e2 e1e2,1691,80,91,137931,crushing endgame long quietMove,https://lichess.org/CX3PIsrj#67,
nbrQy,2r2rk1/1bq2pp1/p3p3/4P1Q1/1p6/2N4R/PPP4P/2KR4 b - - 0 27,b4c3 g5g7 g8g7 d1g1 b7g2 g1g2,1662,89,91,136444,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/YxjfmNjZ/black#54,
