PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
A9nnb,2k4r/1pp1r1pp/3p4/Pp2p3/4P1n1/3Q1NPq/2P2P1P/R4RK1 w - - 0 19,d3b5 e7f7 a5a6 c8d8 a6b7 d8e7 b7b8q h8b8 b5b8 f7f3 b8c7 e7e6 c7c8 e6f7 c8d7 f7g6 d7g4 h3g4,3046,121,90,4699,crushing defensiveMove middlegame veryLong,https://lichess.org/gSR1VL8I#37,Philidor_Defense Philidor_Defense_Other_variations
hRVhQ,8/8/p3p1p1/4P1kp/2R1B3/5R2/r2r4/5K2 w - - 2 42,f3g3 g5f4 g3f3 f4e5 f3e3 d2d1 e3e1 a2a1 e1d1 a1d1 f1e2 d1d4 c4c5 e5e4,3061,112,90,4196,crushing defensiveMove endgame exposedKing interference quietMove veryLong,https://lichess.org/u5JPQU5l#83,
59KHK,r4bnr/ppR2ppp/4pk2/4P3/Q2p1P2/P2q3P/1P1B4/4K2R b K - 0 17,f6g6 h1g1 g6f5 a4d1 f8e7 d1g4 f5e4 g1g2 e7h4 g4h4,3071,142,90,4058,crushing exposedKing middlegame quietMove veryLong,https://lichess.org/zqwni1jk/black#34,Zukertort_Opening Zukertort_Opening_Reversed_Mexican_Defense
kvotW,r2q1r2/1p1n3p/1bp2k2/5p2/Pp1PP3/1B1Q3P/5P2/R3K1R1 b Q - 0 25,f8e8 e1c1 e8e4 d3g3 f6e7 f2f3,3026,122,90,3840,advantage castling long middlegame quietMove,https://lichess.org/62kbnhBQ/black#50,
3N9B8,2kr1b1r/ppp2ppp/2n2n2/3P2N1/2P1p2q/8/PP2BP2/RNBQ1RK1 w - - 2 15,g5f7 f8d6 f7d6 d8d6 g1g2 f6d7 e2h5 h8f8 f2f4 e4f3,3009,109,92,3793,advantage enPassant opening quietMove veryLong,https://lichess.org/U8A0ZJmF#29,Scandinavian_Defense Scandinavian_Defense_Portuguese_Variation
SUC1t,r2q3r/p3npp1/1p2pk1p/3b4/3N2QP/bP1B4/P1P2PP1/4RRK1 b - - 3 17,g7g5 f2f4 g5h4 f4f5 e6e5 g4h4 f6g7 d4e6 d5e6 h4g3 e7g6 f5e6 a3c5 g1h2 f7f5 f1f5 d8h4 g3h4 g6h4 f5f7,3091,143,90,3695,crushing intermezzo middlegame sacrifice veryLong,https://lichess.org/W2CnDFdX/black#34,French_Defense French_Defense_Tarrasch_Variation
zcW0b,8/8/4K3/6Rp/3Pn3/5k2/8/8 w - - 9 58,d4d5 e4g5 e6f5 g5e4 d5d6 h5h4 d6d7 e4d6 f5g5 f3g3,3016,103,91,3623,crushing defensiveMove endgame hangingPiece master quietMove veryLong,https://lichess.org/0UcLib4W#115,
ccVA2,8/3pk3/K7/3P1P2/4r3/4p3/4R3/8 w - - 4 49,a6b5 e7f6 b5c5 f6e5 f5f6 e5f6 c5d6 e4e5,3079,98,91,3491,crushing endgame rookEndgame veryLong zugzwang,https://lichess.org/AGiVoxMr#97,
D3jkU,r1b2rk1/pp3Npp/8/3B4/3nQ3/3K4/Pq1B1PPP/7R b - - 2 17,d4e6 f7g5 f8f2 d5e6 c8e6 e4h7 g8f8 g5e6 f8e7 h7h4 e7e6 h1e1,3010,116,90,3433,advantage fork middlegame veryLong,https://lichess.org/h4jEsy4q/black#34,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
V5UQg,5rk1/p2q1ppp/3b4/3Q4/4pP2/4B3/PPr3PP/R3R1K1 w - - 0 17,e1d1 c2g2 g1g2 d7g4 g2f1 g4h3 f1e2 h3f3 e2d2 f3g2 d2c3 f8c8,3039,116,91,3424,advantage attraction fork middlegame sacrifice veryLong,https://lichess.org/I6nPtrlT#33,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
