PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Lk9ZY,4r3/1p1nNpkp/p2p2P1/3n4/3N4/2r5/PqP1Q1PP/R4R1K b - - 0 20,h7g6 f1f7 g7f7 e2e6 f7g7 d4f5 g6f5 e7f5 g7f8 e6h6 f8f7 h6g7 f7e6 f5d4,2915,100,94,8812,attraction fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/sz6bmlph/black#40,
aLDvX,r4r2/4kpRR/1p2p2p/1Q2B2P/1pPP4/8/KP6/4q3 w - - 0 28,a2b3 a8a3 b2a3 e1b1 b3a4 b1c2 a4b4 c2b2 b4a4 f8a8 b5a5 a8a5,2963,98,92,7165,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/FXxBC990#55,
O2NPN,8/2B2kpp/2p2p2/2Pb1n2/B6P/P5P1/1P1R1P1K/4r3 w - - 1 35,h2h3 e1h1 h3g4 f5e3 f2e3 h7h5 g4h5 d5f3 g3g4 g7g6 h5h6 h1h4,2969,103,92,6668,attraction deflection endgame master mate mateIn5 sacrifice veryLong,https://lichess.org/vIiPQuSQ#69,
t0z9i,8/8/8/Bp1p1p1p/2pPbKpP/P1P3P1/5k2/8 b - - 11 85,f2g2 a5c7 g2f1 f4g5 f1e2 c7f4 e2d3 g5h5 d3c3 h5g5 c3b2 h4h5 b2a3 h5h6 b5b4 h6h7 b4b3 f4d6 a3b2 h7h8q,2998,122,90,5487,advancedPawn bishopEndgame clearance crushing endgame master promotion quietMove veryLong,https://lichess.org/ZfSCFqzo/black#170,
oYTAb,8/8/p3p3/4k2p/1p2p2P/1P2K1P1/P1P2P2/8 w - - 0 33,f2f3 e4f3 e3f3 e5f5 c2c4 b4c3 f3e3 e6e5 e3d3 f5g4 d3c3 g4g3 c3d2 g3f2 d2d3 f2f3,2988,125,90,5085,crushing defensiveMove enPassant endgame pawnEndgame quietMove veryLong,https://lichess.org/1j7ovPnb#65,
DDHLV,8/7p/3kpp2/pp6/3K1Pp1/1PP1P2P/8/8 w - - 0 34,h3g4 a5a4 b3a4 b5a4 d4c4 h7h6 c4b4 f6f5 g4g5 h6g5 f4g5 e6e5,2900,131,90,4736,crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/PaY4M5l1#67,
L1EMr,8/4kp2/6pK/8/5PP1/8/8/8 b - - 2 49,e7f8 h6h7 f8e7 h7g8 e7e6 g8g7,2974,104,92,4567,crushing endgame long pawnEndgame zugzwang,https://lichess.org/GppU4VnP/black#98,
5u1fw,8/p7/1b6/1KP5/4k3/PP6/8/8 b - - 0 46,b6c7 b5c6 c7e5 c6b7 e4d3 c5c6 a7a5 b7b6 d3c3 b6a5 c3b3 a3a4 b3c4 a5b6 e5d6 a4a5,2941,118,90,4442,bishopEndgame crushing defensiveMove endgame quietMove veryLong,https://lichess.org/wpucoU6I/black#92,
FasRI,5r1k/p3bppB/3pb3/q1p3NQ/7P/P3B3/nrP2PP1/1K1R3R w - - 0 19,b1a1 b2b1 d1b1 a5c3 b1b2 c3b2 a1b2 f8b8 b2a1 e7f6 e3d4 f6d4 c2c3 d4c3,2938,98,91,4331,attraction exposedKing mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/Yx1J0qGB#37,Russian_Game Russian_Game_Damiano_Variation
tWMJ6,r2r2k1/pQ3pp1/5q1p/5b2/5b2/2P2N1P/PP1N1PP1/R4RK1 w - - 1 17,d2b3 a8b8 b7a7 f5h3 f1d1 d8d1 a1d1 f6g6 f3e1 b8e8,2924,104,91,4235,advantage master middlegame pin veryLong,https://lichess.org/Nn6HctOb#33,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
efbaM,5k2/4N3/4bPP1/4K3/p7/1r6/1p6/1R6 b - - 3 49,e6c4 g6g7 f8e8 e7c8 e8d7 c8d6 b3e3 e5d4,2946,118,90,3977,advancedPawn advantage endgame master masterVsMaster quietMove superGM veryLong,https://lichess.org/uFeXVKkQ/black#98,
upgZI,8/6pp/2p5/3k4/3Pp3/2K1P2P/5P2/8 w - - 4 39,c3b4 g7g5 b4c3 d5e6 c3d2 e6f5 d2e2 g5g4,2969,116,90,3967,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/ws3uicYJ#77,
RijY9,8/1k6/p3p3/3b4/6PP/8/2p2K2/2B5 b - - 0 37,d5e4 f2e3 e4h7 e3f4 b7c6 h4h5 c6d7 f4g5 d7e7 g5h6,2926,105,91,3904,bishopEndgame crushing endgame quietMove veryLong,https://lichess.org/UBb4DPrG/black#74,
qe8B1,r6r/pp1k1ppp/4p3/3n4/1Q6/4B3/PP2KPqP/2RR4 b - - 5 20,b7b6 b4a4 d7e7 a4h4 f7f6 d1g1 g2g6 g1g6,2911,99,91,3870,advantage middlegame trappedPiece veryLong,https://lichess.org/0ZzePFRr/black#40,
1XaNF,1k1r3r/1p2pp1p/Q3b1pn/R3P3/3qP3/8/6PP/1R5K b - - 1 26,d4e4 a6a8 b8c7 b1b7 e4b7 a5c5 c7d7 a8a4 b7c6 a4c6,2991,118,90,3796,mate mateIn5 middlegame queensideAttack sacrifice veryLong,https://lichess.org/01D1zIEq/black#52,
