PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zhl5i,7k/4QP2/2p2n2/p3P3/P1pP4/1pP2K2/1q3P2/8 b - - 1 33,b2c3 f3g2 f6h7 e7d7 c3b4 e5e6 h7f8 d7d8 b3b2 e6e7 b4e7 d8e7,3199,137,88,7426,advancedPawn crushing defensiveMove endgame pin veryLong,https://lichess.org/e9XLGWkk/black#66,
ZTCXB,1r6/pp2Nbkq/2p2rn1/4Q3/4Bp2/8/PPP2P2/2K3R1 b - - 19 30,h7h2 g1g5 h2f2 b2b3 f2f1 c1b2,3151,112,90,3916,advantage long middlegame pin quietMove,https://lichess.org/1nwXsf0b/black#60,
bfid4,8/p7/p3k1p1/3ppP2/P7/1P1K3P/2P5/8 b - - 0 29,g6f5 c2c4 e5e4 d3e2 d5d4 h3h4 d4d3 e2d2 e6e5 c4c5 e5f4 c5c6 e4e3 d2d3 f4f3 c6c7 e3e2 c7c8q e2e1q c8f5,3127,127,90,3685,advancedPawn crushing defensiveMove endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/9aQLGw1G/black#58,
kEO5R,5rk1/1pp2ppp/3r4/p7/5P2/P1P1PB1q/2P5/R3QRK1 w - - 1 20,g1f2 h3h2 f3g2 f8d8 f2f3 h2h5 f3g3 d6g6 g3f2 h5h2 f1g1 g6d6,3159,116,91,3181,advantage defensiveMove middlegame pin quietMove veryLong,https://lichess.org/I9gCWQJ4#39,
pTA2a,5qr1/pk6/1p6/3Q4/3P4/PN4p1/KPP5/8 b - - 6 46,b7a6 b3a5 g8g5 d5g5,3167,108,91,2720,crushing endgame quietMove short,https://lichess.org/v24ByVZ5/black#92,
Qsw3c,r2qr3/1bp2pk1/p1np1n2/1p4B1/3bPN2/1B3Q1P/PP3PP1/R4RK1 b - - 5 18,c6e5 f3d1 c7c5 f4h5 f6h5 g5d8,3109,141,90,2675,advantage long middlegame,https://lichess.org/cfGUXbYW/black#36,Ruy_Lopez Ruy_Lopez_Morphy_Defense
5W1f4,8/8/p1kbp1pp/5p2/P1PB1P2/2K3P1/7P/8 b - - 3 42,d6c5 d4c5 c6c5 h2h3 g6g5 f4g5 h6g5 c3d3 f5f4 g3f4,3101,110,90,2638,bishopEndgame crushing endgame quietMove veryLong,https://lichess.org/zNJGIYP4/black#84,
5Y80r,r1bq1rk1/ppp3bp/3pp1p1/3P1p2/1PPNnP2/P5P1/1B2P1BP/R2QK2R w KQ - 0 14,d5e6 c7c5 d4f5 g6f5 d1d5 d8e8 e6e7 f8f7 b2g7 g8g7 g2e4 f5e4,3178,147,89,2621,advantage master middlegame veryLong,https://lichess.org/MUB0id51#27,Dutch_Defense Dutch_Defense_Other_variations
2F18l,1r6/5Qpk/4p1n1/P2pP1Pp/1PqP1P2/8/3BKR1P/8 w - - 11 34,e2e3 c4c2 f2f3 b8f8 f7e6 g6h4 g5g6 h7h6 e6d5 f8d8 d5e4 h4f5 e4f5 c2f5,3112,124,89,2523,crushing defensiveMove endgame veryLong xRayAttack,https://lichess.org/CcmpA5qz#67,
zesbO,r6r/pp2pQ1p/2p3p1/4b1Pk/8/1Pq5/P1P1BP1P/2KR3R b - - 2 19,h5g5 d1g1 g5h6 e2d3 h8g8 g1g3 c3a1 c1d2 e5g3 h1a1,3153,135,90,2515,crushing discoveredAttack middlegame veryLong,https://lichess.org/nnKFBeG6/black#38,Pirc_Defense Pirc_Defense_Roscher_Gambit
