PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
lrjUw,r3r3/ppp3pp/3pN3/n2P1k2/6n1/5Q2/P4P2/q1B1R1K1 b - - 1 25,f5g6 e6f8 e8f8 f3g4 g6f7 g4e6,2734,103,95,15573,dovetailMate exposedKing long mate mateIn3 middlegame,https://lichess.org/4wJBxlvz/black#50,
jsmFp,r1b3nr/pppk1pp1/1b1P3p/n2BN3/8/B1P5/P1q2PPP/RN2R1K1 b - - 2 19,d7d8 e5f7 d8d7 e1e7 g8e7 f7e5 d7e8 d5f7 e8f8 d6e7,2776,106,92,9909,advancedPawn mate mateIn5 opening sacrifice veryLong,https://lichess.org/3CokGDoQ/black#38,Danish_Gambit Danish_Gambit_Other_variations
5QUgd,7r/p7/1k6/pP2p3/1P2q3/Q6P/P2b1P2/3R1R1K w - - 1 33,f2f3 h8h3 h1g2 h3h2 g2h2 d2f4 h2g1 e4g6 g1f2 g6c2 f2e1 f4g3 f1f2 c2f2,2779,99,92,9172,attackingF2F7 attraction endgame exposedKing mate mateIn5 sacrifice veryLong,https://lichess.org/jcPI9orx#65,
Sz9GN,8/8/2p1pk2/8/Q3P3/3q1KPP/P7/8 w - - 7 41,f3g4 d3e2 g4h4 f6g6 a4a5 c6c5 a5c5 e2e4 g3g4 e4e1 c5f2 e1f2,2766,95,94,8345,endgame mate mateIn5 queenEndgame quietMove veryLong,https://lichess.org/33fJKYOq#81,
kxyJ7,3q1r2/2p2pk1/3pb1np/2p3PQ/P3P3/b1PB1NB1/P4rP1/2KR3R w - - 0 21,c1b1 d8b8 d3b5 b8b5 a4b5 e6a2 b1a1 a3b2 a1a2 f8a8 a2b3 a8a3 b3c4 a3c3 c4d5 g6e7,2700,95,93,8127,mate mateIn5 middlegame queensideAttack sacrifice veryLong,https://lichess.org/vkyuwHBc#41,
0neOV,rnbqkbnr/ppp3pp/8/7Q/4pp2/1B6/PPPP2PP/RNB1K2R b KQkq - 1 8,e8d7 h5d5 f8d6 d5f5 d7c6 b3a4 b7b5 f5b5,2756,108,94,8071,dovetailMate mate mateIn4 opening veryLong,https://lichess.org/s7CP0WNu/black#16,Kings_Gambit Kings_Gambit_Other_variations
LXR6y,8/5R2/1P5p/1Rb3p1/6P1/1P3P2/2r2k1P/7K w - - 1 44,h2h4 c5d6 f7c7 d6c7 b6c7 f2g3 c7c8q c2c8 b5e5 c8c1 e5e1 c1e1,2770,108,92,8068,endgame exposedKing mate mateIn5 quietMove veryLong,https://lichess.org/3a1o3f2j#87,
VEfqe,rnbqkbnr/ppp3pp/8/7Q/3pp3/1B6/PPP2PPP/RNB1K2R b KQkq - 1 8,e8d7 h5d5 f8d6 d5f5 d7c6 b3a4 b7b5 f5b5,2784,109,92,7985,dovetailMate mate mateIn4 opening veryLong,https://lichess.org/x40atNb2/black#16,Philidor_Defense Philidor_Defense_Philidor_Countergambit
QGtzX,2Q2k2/p5p1/1p2p2p/1P4nN/P1P5/7P/5pPK/4q3 b - - 1 35,f8f7 c8d7 f7g6 d7g7 g6f5 h5g3 f5f4 g7d4 g5e4 g3h5 f4f5 g2g4 f5g5 d4d8 e4f6 d8f6,2728,99,93,7953,endgame mate mateIn5 veryLong,https://lichess.org/HydDdc2X/black#70,
AALWu,4Q3/p4p2/2p3pk/8/6N1/7P/6PK/1rq5 b - - 13 35,h6g5 e8e7 g5h5 e7e5 g6g5 e5h8 h5g6 h8f6 g6h7 f6h6 h7g8 g4f6,2736,100,93,7928,endgame mate mateIn5 veryLong,https://lichess.org/ZLNd7XVC/black#70,
h1Li2,2kr1r2/Qp4pp/2p1b3/5n2/1P6/1PN1b3/1BP1B1PP/R5KR w - - 1 22,g1f1 f5d4 e2f3 f8f3 g2f3 e6h3 f1e1 d4c2 e1e2 d8d2,2702,102,94,7830,discoveredAttack discoveredCheck fork mate mateIn5 middlegame operaMate pillsburysMate sacrifice veryLong vukovicMate,https://lichess.org/jO9YixXX#43,
iomDS,4r1k1/3n1pp1/7p/R2N4/2pP2n1/4PNPK/Q4PP1/7q w - - 5 35,h3g4 e8e4 d5f4 d7f6 g4f5 h1h5 f4h5 g7g6 f5f6 e4e6,2785,96,93,7817,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ySarR54G#69,
