PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
UMEVR,r3k2r/p4ppp/b1p1p3/8/3PnP2/P4N1K/2QB1qPP/R6R b kq - 3 20,g7g5 c2c6 e8f8 f4g5 e4d2 a1a2,3262,163,89,1886,advantage fork long middlegame,https://lichess.org/zuLO1X9c/black#40,
9hjOW,8/8/2p2p1p/4pNk1/1P4P1/2P1P2P/6K1/5r2 b - - 16 60,f1f5 c3c4 h6h5 g4f5 g5f5 g2g3 f5e4 b4b5 c6b5 c4b5 e4d5 g3h4 d5c5 h4h5 f6f5 h5g5 f5f4 e3f4 e5e4 g5g4,3211,140,90,1720,crushing defensiveMove endgame intermezzo master masterVsMaster quietMove rookEndgame trappedPiece veryLong,https://lichess.org/JbFAzHoi/black#120,
kv5WF,r3r1k1/2p1bppp/p1P2n2/1p6/6b1/1BPq1PQ1/PP1P2PP/RNB1R1K1 w - - 1 14,b1a3 e7d6 b3c2 d3d5,3230,154,90,1420,crushing middlegame short,https://lichess.org/tQcHI7YW#27,Ruy_Lopez Ruy_Lopez_Marshall_Attack
1lSpa,8/6pp/8/6PP/8/2k3P1/p7/K7 w - - 2 51,g5g6 h7g6 h5g6 c3b3 g3g4 b3a3 g4g5 a3b4 a1a2 b4c3 a2b1 c3d2 b1b2 d2e3 b2c3 e3f4 c3d2 f4g5 d2e3 g5g6,3204,142,86,1152,crushing endgame pawnEndgame veryLong,https://lichess.org/o5GX9S1N#101,
NXHEy,5k1r/1b3p1P/4pPpR/pp1p2P1/2r2q2/2P5/PP6/1K1R2Q1 b - - 5 36,b5b4 h6h4 f4f5 b1a1 c4c7 h4c4 f5e5 g1b6 e5e2 b6d6 f8e8 c4d4 c7d7 d6b8,3219,140,89,1013,crushing defensiveMove fork middlegame veryLong,https://lichess.org/7ZvEKJuG/black#72,
LmxCw,3q1r1k/1b3p1p/p3p1pQ/1p2P3/3pP1RP/1Br3P1/P7/5RK1 b - - 1 24,d4d3 g4g6 f8g8 f1f7 c3c1 h6c1 g8g6 g1h2 d3d2 c1f1 d2d1r b3d1,3227,142,89,970,crushing middlegame pin veryLong,https://lichess.org/l1qDG48T/black#48,
QPRCI,r1b2rk1/pp3pp1/4p3/4P1NQ/1n1qp1K1/8/P5PP/R4R2 b - - 1 20,f7f5 e5f6 e4e3 g4g3 d4d6 g3h3 f8f6 h5h7,3221,155,86,724,crushing enPassant middlegame veryLong,https://lichess.org/HcVxn2GY/black#40,
8U4Gp,4q1k1/1pp2rp1/1n4RP/3pPpQ1/1p3B2/2P1P3/4KP2/r7 b - - 2 30,a1a2 e2f1 e8e7 g5g3 g8h7 e5e6 b6d7 f4g5,3204,161,84,675,crushing defensiveMove middlegame quietMove veryLong,https://lichess.org/DpUyczTS/black#60,
a4KYx,8/6p1/p6p/5p2/1k1K1PP1/4P2P/8/8 b - - 0 39,g7g6 g4g5 h6g5 f4g5 a6a5 h3h4 a5a4 d4d3 a4a3 d3c2 f5f4 e3f4 a3a2 c2b2 a2a1r b2a1,3284,154,88,548,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/028WsH3R/black#78,
3jtTO,Q7/5pkp/3b2p1/2pP4/2P1pn2/B6P/3q1PP1/1R2NK2 w - - 3 40,a8a7 d2e2 f1g1 e4e3 f2e3 e2e3 g1h1 e3f2 a3c5 d6c5 a7c5 f2c5,3200,116,92,534,crushing middlegame veryLong,https://lichess.org/ccHTeCZi#79,
cMhIA,8/8/6pp/Ppkppp2/1p5P/1P1KPPP1/8/8 b - - 0 34,g6g5 a5a6 e5e4 d3d2 g5h4 a6a7,3239,130,94,460,advancedPawn crushing defensiveMove endgame long pawnEndgame,https://lichess.org/jPldiUaA/black#68,
14uk9,8/8/6p1/4kp2/2K1p2p/4P2P/5PP1/8 w - - 0 46,c4c5 g6g5 c5b4 e5d5 b4c3 d5c5 c3c2 c5b4 g2g3 g5g4 h3g4 h4h3 g4g5 h3h2 g5g6 h2h1q,3249,123,96,435,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong zugzwang,https://lichess.org/RxlGjNY3#91,
UXQY0,4k3/8/2p2RK1/6P1/8/r7/8/8 b - - 4 45,a3a6 g6g7 e8e7 g5g6 a6b6 f6f5,3266,125,91,412,crushing defensiveMove endgame long master rookEndgame,https://lichess.org/bFKTWMls/black#90,
