PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
PZJ6C,r1bq1rk1/pppP1ppp/3n4/b2Q4/2B5/5N2/PP3PPP/R1B2RK1 b - - 0 12,d6c4 d7c8n d8d5 c8e7 g8h8 e7d5,2551,108,86,139265,advancedPawn crushing fork long opening promotion sacrifice underPromotion,https://lichess.org/adKY439C/black#24,Italian_Game Italian_Game_Classical_Variation
zIOWV,r5k1/2qbb2r/3pppQ1/pnp4N/1p2P1P1/P2PR3/BPP2PP1/5RK1 b - - 5 22,g8h8 e3h3 d7e8 g6g7 h7g7 h5f6 e8h5 h3h5 g7h7 h5h7,2585,97,95,27213,arabianMate discoveredAttack discoveredCheck exposedKing kingsideAttack mate mateIn5 middlegame quietMove sacrifice veryLong,https://lichess.org/YnlFnFMq/black#44,
pGGb5,6k1/2R3b1/3N2p1/4pnNp/8/3rP3/r5PP/1R4K1 b - - 1 29,d3d2 b1b8 g7f8 b8f8 g8f8 g5h7 f8g8 h7f6 g8h8 c7h7,2562,108,95,24058,arabianMate attraction exposedKing mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/WwJgR0Df/black#58,
wd4JU,rnbr4/1pp2Qp1/p1k5/8/4B3/B7/P1P3PP/b6K b - - 2 23,c6b6 f7b3 b6a7 b3b7 c8b7 a3c5,2529,109,96,22997,doubleBishopMate long mate mateIn3 middlegame sacrifice,https://lichess.org/GN12UP04/black#46,
CqO9Y,2r2nkQ/1b4p1/p3p3/3pP3/1p1q1P2/5BK1/P5P1/2q4R b - - 1 33,g8f7 f3h5 g7g6 h5g6 f7e7 h8g7 e7d8 g7f8 d8c7 f8d6,2510,81,94,16791,deflection dovetailMate master mate mateIn5 middlegame veryLong,https://lichess.org/q2aJcPSy/black#66,
yhrqp,6rb/1b2kp2/p2p1n2/qppP2B1/4PPn1/1PN4B/P1PQ4/2KR4 w - - 0 22,h3g4 g8g5 f4g5 f6g4,2541,85,94,15877,advantage master middlegame short,https://lichess.org/CTJCPF8q#43,
AnYoY,1r3b1k/1pR5/p6p/1q1QBrp1/1p2N3/7P/P4PP1/6K1 b - - 0 30,f5e5 d5g8 h8g8 e4f6 g8h8 c7h7,2503,86,94,13283,arabianMate attraction exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/QkxJnIoJ/black#60,
sTUKG,r1b3k1/pp1n1rb1/1qnp2QB/6N1/3p4/2P5/PP1N1PP1/R3K2R b KQ - 2 16,f7e7 d2e4 d7f8 g6g7 e7g7 e4f6 g8h8 g5f7 g7f7 h6f8 c8h3 h1h3 f7h7 h3h7,2556,83,93,12578,arabianMate defensiveMove discoveredAttack discoveredCheck exposedKing kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/0OSpcvl7/black#32,Indian_Defense Indian_Defense_Other_variations
2YclJ,6k1/1p2q1b1/3p2p1/pN1Ppp1P/Pn2P3/1P2BPR1/3K4/7R w - - 0 28,h5g6 f5f4 h1c1 f4g3 c1c8 g7f8,2567,85,93,11596,advantage defensiveMove fork long middlegame,https://lichess.org/tqDfWnqP#55,
wUL1J,6k1/2Q2pp1/1p3n2/P2p4/3P4/2P2n2/4r1rP/2R2N1K w - - 0 32,c7c8 f6e8 c8e8 g8h7 e8e3 g2h2 f1h2 e2h2,2549,76,91,11101,arabianMate defensiveMove master mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/8H4D8fDn#63,
