PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
v4qKu,r4r1k/4NppQ/p3b3/2pN1p2/q1B2R2/8/1PPP2PP/2B3K1 b - - 0 18,h8h7 f4h4,495,98,96,3929,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/KBYDVTAw/black#36,Sicilian_Defense Sicilian_Defense_Closed
AHvUr,2kr2nr/ppp2ppp/3pb3/4p3/4P2P/P1Nn1BP1/1PPPNb2/R1BK3R w - - 1 12,c2d3 e6b3,495,100,86,3436,bodenMate mate mateIn1 oneMove opening,https://lichess.org/7MVFtMde#23,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
s9vew,rn1qkb1r/pbpnp2p/1p2p1Q1/3p4/3P4/3B4/PPP2PPP/RNB1K1NR b KQkq - 0 8,h7g6 d3g6,446,109,91,3327,bodenMate master mate mateIn1 oneMove opening,https://lichess.org/x6tKfljf/black#16,
7KjlW,r1bqk2r/pp2bppp/4p3/2ppN3/2PP1n2/1P3Q2/P4PPP/RN2KB1R b KQkq - 1 10,f4g6 f3f7,426,110,98,3305,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/Z5rRNeex/black#20,Queens_Gambit_Declined Queens_Gambit_Declined_Tarrasch_Defense
2yEwW,r1bqkb1r/pp1pnppp/2n1p3/2p2P1Q/2B1P3/8/PPPP2PP/RNB1K1NR b KQkq - 0 5,e6f5 h5f7,400,110,92,3254,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/QUP2Eqhf/black#10,
En2Rf,r2r1k2/pb3ppQ/1p2pb2/3q4/3n4/4BN2/PPB2PPP/R3R1K1 w - - 1 17,f3d4 d5g2,498,104,96,3233,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/o8mUGNj8#33,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
8zIJq,r1bqk2r/pp3ppp/2np4/3Qp3/2B1n3/2B2N2/PPP2PPP/R3K2R b KQkq - 1 10,e4c3 d5f7,469,100,96,3187,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/dXk56bB9/black#20,Sicilian_Defense Sicilian_Defense_Lasker-Pelikan_Variation
SgIKA,8/4p3/p2pNbpk/1p1P4/r7/4R3/5PK1/8 b - - 15 43,b5b4 e3h3 f6h4 h3h4,490,99,93,3161,anastasiaMate endgame mate mateIn2 short,https://lichess.org/8gKtaHOX/black#86,
dirJo,rn1qkbnr/pppbp2p/6Q1/3p4/3P4/3B4/PPP2PPP/RNB1K1NR b KQkq - 0 6,h7g6 d3g6,423,114,94,3153,bodenMate mate mateIn1 oneMove opening,https://lichess.org/rhYpr7fR/black#12,
GhVz8,r1bqkb1r/p2np2p/2p1p1Q1/3p4/8/3B4/PPP2PPP/RNB1K2R b KQkq - 0 10,h7g6 d3g6,495,100,89,3118,bodenMate master mate mateIn1 oneMove opening,https://lichess.org/teicEqXw/black#20,Sicilian_Defense Sicilian_Defense_Open
ILexq,rnbqkb1r/pppnp2p/5pQ1/2PpP3/3P4/3B4/PP3PPP/RNB1K1NR b KQkq - 0 8,h7g6 d3g6,459,106,92,3101,bodenMate mate mateIn1 oneMove opening,https://lichess.org/79R1bGi5/black#16,
MyIxv,3r2k1/5ppp/2p1p1q1/Q3P3/P4r2/1P3N1P/2P2PPK/1R6 b - - 0 21,g6c2 a5d8,478,99,91,3027,backRankMate endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Ne9wI47V/black#42,
Q7W0q,6k1/5p1p/p4qp1/1pb5/6Q1/1BP5/PP3rPP/5RK1 w - - 0 28,f1f2 f6f2 g1h1 f2e1,491,97,98,2998,backRankMate endgame mate mateIn2 short,https://lichess.org/lAcOWjl2#55,
xFm6R,3r1rk1/pp3ppp/7b/4q3/6Q1/5R2/PP4PP/4R2K w - - 2 28,e1e5 d8d1 e5e1 d1e1 f3f1 e1f1,474,107,94,2939,backRankMate endgame long master mate mateIn3,https://lichess.org/5KdxN1b8#55,
Isqm4,r2qkbn1/pp1np1p1/2p4r/7Q/7P/3B4/PPPP1PP1/R1B1K2R b KQq - 0 11,h6h5 d3g6,475,110,91,2899,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/K3VMeqFM/black#22,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack
EwbVd,7k/1R1B3p/p5p1/6P1/1P2r3/P7/4nPPK/8 w - - 7 37,d7c6 e4h4,480,100,94,2862,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/zt5lHZGy#73,
rEL9F,r1b1r2k/ppp3pp/3n4/3Q4/2PN4/5P2/PP4PP/R3q2K w - - 0 24,a1e1 e8e1,400,117,95,2834,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/fuf0FejB#47,
