PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ajIW3,3r4/p5pk/2Q4p/1p1n4/4q3/1R2B3/2P1KPPP/4R3 w - - 2 30,c6b5 d5f4 e2f1 e4g2,1826,89,91,236447,mate mateIn2 middlegame pin short,https://lichess.org/bZaFc74H#59,
gPyHD,r6r/2kpQp2/p1q2p2/2B1nP1p/8/5P2/P1P1BK1P/1R6 b - - 6 25,h8e8 c5d6 c6d6 b1b7 c7c6 b7b6 c6b6 e7d6,1888,78,89,234862,advantage attraction deflection master middlegame sacrifice veryLong,https://lichess.org/L3c8kv6M/black#50,
rJ4L1,1rb1k3/pp1p1pqp/4pn2/8/4B3/5N2/PQ3PPP/4R1K1 b - - 10 18,b7b6 b2e5 d7d6 e5d6,1861,80,84,227329,crushing middlegame short,https://lichess.org/CMIyKdxl/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
KLWdv,2rr2k1/5pp1/p6p/8/1b2N2Q/2N1P3/Pq1B1PPP/2R3K1 w - - 2 28,c1b1 b2b1 c3b1 c8c1 d2c1 d8d1,1803,84,93,227079,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/8OYJMoxv#55,
lMVPY,1r4k1/p4ppp/Q7/1Nq5/Pr3P2/K2R3P/2P3P1/7R w - - 4 27,d3c3 b4c4 a3a2 c4c3 b5c3 c5c3,1876,80,89,223301,crushing discoveredAttack discoveredCheck long middlegame,https://lichess.org/q042dNaL#53,
aHVFo,1r3Bk1/3P2pp/p3pq2/8/3PKp2/2PQ1P2/P6P/R6R w - - 1 27,d4d5 f6f5 e4d4 f5d5,1861,84,90,221326,endgame fork mate mateIn2 short,https://lichess.org/hPx6u9F9#53,
YUufX,rn2k2r/pp3pb1/2p1p3/3p4/2PP4/4q3/PP1N1RB1/R1BQ2K1 b kq - 1 16,g7d4 d2e4 d5e4 c1e3,1839,79,82,221310,crushing discoveredAttack opening quietMove short trappedPiece,https://lichess.org/Z2eClxMJ/black#32,Modern_Defense Modern_Defense_Other_variations
SUGCV,2kr3r/p1p2ppp/1p1bp3/qB6/2PPb1P1/P3PN1P/1P2Q3/2KR1R2 w - - 1 21,f3d2 a5c3 b2c3 d6a3,1800,85,93,219898,bodenMate deflection mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/fGHjTUQ4#41,
MHuET,8/1p1n3R/p3k1rp/3pp2B/1P6/2P5/P2r4/5R1K b - - 5 32,g6f6 h5g4 e6d6 h7d7,1826,79,90,217953,crushing endgame short,https://lichess.org/fyfDzRwa/black#64,
C0Fxk,r5k1/1p1q3p/p2p2pb/2pPp1N1/2Pn4/5R2/PP1Q2PP/4R1K1 w - - 9 27,f3h3 h6g5 d2g5 d7h3 g2h3 d4f3 g1g2 f3g5,1874,82,91,215488,crushing fork middlegame sacrifice veryLong,https://lichess.org/jqF5btVw#53,
