PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
8Dhvj,1k4r1/3q1p2/QP1p1p2/P1PPp3/5b1p/5Br1/6P1/1R3RK1 w - - 3 37,c5c6 g3g2 f3g2 g8g2 g1g2 d7g4 g2f2 g4g3 f2e2 g3e3 e2d1 e3d2,2143,79,93,255306,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/63fSnru2#73,
03xgM,8/2p2p1k/2r3pp/8/Pq6/4Q1PP/5P1K/3R4 b - - 1 36,c6a6 e3e8 b4b2 e8f7,2193,86,69,218228,crushing endgame short,https://lichess.org/YZKzAxYf/black#72,
ZniFg,r3r1k1/p4p2/bqBp1bpp/4p3/4P3/2P4P/PP1N1PP1/R2QK2R w KQ - 1 17,c6e8 b6e3 f2e3 f6h4 g2g3 h4g3,2180,85,93,201936,bodenMate long mate mateIn3 middlegame sacrifice,https://lichess.org/vL7SxaWg#33,East_Indian_Defense East_Indian_Defense_Other_variations
yFfBn,r4q1k/1b4bp/4Q2N/p7/Pp6/3Pp3/1PP3PP/5RK1 b - - 5 28,e3e2 f1f8 a8f8 e6g8 f8g8 h6f7,2105,84,93,198006,long master masterVsMaster mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/fYrDv7hu/black#56,
6Sz3s,4k2r/p5pp/3bp3/4n3/1r5q/4Q3/PP2B1PP/R1B2R1K w k - 3 21,e3a7 h4h2 h1h2 e5f3 h2h3 b4h4,2180,82,93,195191,attraction discoveredCheck doubleCheck long mate mateIn3 middlegame pillsburysMate sacrifice,https://lichess.org/zgBwsXLr#41,
kgueb,2k3r1/pp6/3pP3/8/3nPr1N/P7/1P1N1PP1/R4RK1 w - - 1 27,h4f3 d4e2 g1h1 g8h8 f3h2 h8h2 h1h2 f4h4,2143,84,94,191032,anastasiaMate attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/sTREK8aA#53,
aBJKY,5rk1/1p2bp2/1pp2npp/3p4/3PP2B/r1Nb1P2/1P1N2PP/2KR3R w - - 0 18,h4f6 a3c3 b2c3 e7a3,2111,85,94,181689,bodenMate clearance master mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/AnFInpM7#35,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights_Variation
32UX0,r2b2k1/pR1n1rpp/2p1p3/2PpPp2/3P4/q1N1P1RP/3B2P1/3Q2K1 b - - 3 22,d8a5 b7b3 a3b3 d1b3,2138,87,90,180047,advantage middlegame short trappedPiece,https://lichess.org/WPDjEm8g/black#44,
wvOKW,1R6/P1R2pk1/6p1/7p/4b3/7P/r5PK/8 w - - 5 63,h2g3 g6g5 g3h2 a2g2,2191,61,91,179122,crushing endgame quietMove short,https://lichess.org/3mhD9jiI#125,
Mhfvi,2k4r/ppp4p/1b2p3/1Nq4r/2P3n1/1Q4B1/PP4PP/R4R1K w - - 4 22,b3c3 c5g1 f1g1 h5h2 g3h2 g4f2,2199,85,93,176369,kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/cxk849ie#43,
