PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01OKt,r2q1r2/pp1k4/2p4Q/3pn3/8/2P3PP/PP1N4/2KR1R2 w - - 2 28,f1e1 e5d3 c1c2 d3e1,1052,93,64,182031,advantage fork middlegame short,https://lichess.org/0UAYPkWO#55,
eK8HX,6k1/2qb2pp/2p5/2Ppbp1Q/1R1Np3/4P2P/1R3PP1/r4NK1 w - - 2 27,d4f5 e5h2 g1h1 a1f1,1083,85,95,39670,deflection kingsideAttack mate mateIn2 middlegame short,https://lichess.org/XWJ96qUX#53,
zosdQ,8/7p/5K2/6PP/8/pk6/8/8 w - - 0 39,g5g6 h7g6 h5g6 a3a2 f6f7 a2a1q,1079,78,97,34628,advancedPawn crushing endgame long master pawnEndgame promotion,https://lichess.org/XN4mc68J#77,
m3hfB,r5rk/pQ4Rp/2p2n2/3q4/3P2P1/7P/5P2/5RK1 b - - 0 27,c6c5 g7h7 f6h7 b7d5,1095,81,95,32054,crushing deflection middlegame short,https://lichess.org/R3Rr8P7S/black#54,
R4FMf,R7/2r2k1p/6bP/pB2qpp1/P2p1p2/5P1Q/6PK/8 b - - 5 46,e5c5 b5e8 f7e7 e8g6,1089,80,94,31792,crushing deflection endgame short,https://lichess.org/lZ5dPAVc/black#92,
dv08J,1R6/5ppk/6b1/1P4q1/PQ5p/4nP1P/3r1BP1/5RK1 w - - 5 37,f2e3 g5g2,1054,94,93,31283,master mate mateIn1 middlegame oneMove,https://lichess.org/Cs4nrkpt#73,
1VD7w,2r3k1/2r3bp/p5p1/1p2pp1n/5P2/1PPB1qPP/P1RQ3K/2R2N2 w - - 0 33,d3e2 f3f2 h2h1 h5g3 f1g3 f2g3,1089,80,90,30852,crushing deflection long middlegame,https://lichess.org/05brQs96#65,
L8b27,5r2/3b1k2/1q3p2/p3pPp1/p1BpP3/1Pr3R1/2PQ2P1/2R3K1 b - - 1 30,f7g7 g3g5 f6g5 d2g5,1031,76,98,30503,crushing middlegame sacrifice short,https://lichess.org/7KuwvxCz/black#60,
CAoY3,r6r/1b3pk1/pp1Np1p1/2p1N3/5n2/2PP4/PP3PPP/R4RK1 w - - 6 22,d6b7 f4e2 g1h1 h8h2 h1h2 a8h8,1099,79,94,29594,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/kORRNI2O#43,
jrDEO,5rk1/Q1p2pp1/4p2p/1N1p4/8/3nPP2/P1qnBKPP/4R2R w - - 3 21,e2d3 d2e4 f2f1 c2f2,1093,80,95,29500,discoveredCheck doubleCheck mate mateIn2 middlegame short,https://lichess.org/85zu9vow#41,
zWbUu,r3k3/5p2/p3p1p1/3q4/8/2b1Q3/P3NP1P/R4K2 w q - 0 24,e2c3 d5h1 f1e2 h1a1,1072,90,95,29037,advantage endgame short skewer,https://lichess.org/XCuDQThp#47,
UBOKU,5rk1/pQ3pp1/1bNp2n1/6r1/8/2P5/PPK5/8 b - - 2 29,g6e5 c6e7 g8h7 b7h1 g5h5 h1h5,1043,78,95,28489,anastasiaMate endgame long mate mateIn3,https://lichess.org/oaoShJwt/black#58,
uKGJw,8/2pb3k/p2p3b/1p1Nn3/8/6RP/PP3PPK/4r3 b - - 3 28,c7c6 d5f6 h7h8 g3g8,1088,82,95,28301,arabianMate endgame mate mateIn2 short,https://lichess.org/CMhOH1qg/black#56,
5hVi1,5rk1/2n3p1/3b2Pp/1ppP1pB1/p4P2/P2Q3R/1q2P3/6K1 b - - 1 41,h6g5 h3h8 g8h8 d3h3 h8g8 h3h7,1070,74,95,27984,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/IAQtBhff/black#82,
967Kl,1b1r2k1/P6p/6p1/8/8/5pP1/4p2P/1R5K w - - 0 40,a7a8q d8d1 b1d1 e2d1q,1040,79,96,27513,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/iZNS5lX9#79,
