PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
4gA7K,r6k/p2R4/bpn1pNp1/8/P7/5P2/5P1P/6K1 b - - 0 32,a8f8 d7h7,645,90,95,4005,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/QcKaYP5h/black#64,
y0dzm,2rq4/R4pk1/4r1np/4p1p1/4P3/BP2Q3/P4PPP/2R4K w - - 9 33,c1c8 d8d1 e3e1 d1e1,698,87,98,3835,backRankMate mate mateIn2 middlegame short,https://lichess.org/SUwbcudX#65,
CFxDy,5rRk/5p2/5N1p/1p2pp2/1Pb5/6RP/1r3PP1/6K1 b - - 3 29,f8g8 g3g8,613,95,94,3834,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/YUlg0otZ/black#58,
rJdXJ,8/6kp/p7/1pR3PP/4r1r1/8/PP6/K3R3 w - - 4 38,e1e4 g4g1 e4e1 g1e1 c5c1 e1c1,632,102,96,3833,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/33KjvPB0#75,
IGj4u,Q7/pppk1p1p/8/3p1bB1/8/2P1nP2/PP4BP/RN2q1K1 w - - 1 17,g2f1 e1f1,600,88,91,3823,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1Np0tpgT#33,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
vCaCU,5R2/1pr5/p7/4N1pk/1Pb1p3/P4P2/5P2/4K3 b - - 1 49,e4f3 f8h8 c7h7 h8h7,686,81,99,3775,anastasiaMate endgame mate mateIn2 short,https://lichess.org/ovhCP21y/black#98,
S4UrG,r1b2rk1/pppp1pp1/1bn2q1p/4p3/PP2P3/2PP2P1/5PBP/RN1QK1NR w KQ - 1 10,a4a5 f6f2,621,80,91,3768,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/nQxkAUNn#19,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
c73y8,3r2k1/R3N1p1/5bb1/Pp4p1/8/6R1/5PKP/1r6 b - - 5 40,g8h7 g3h3 g6h5 h3h5,642,95,95,3730,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/bgqKCJfD/black#80,
ivPo4,6R1/8/3p3k/1b1p1p2/3P4/3PK1Br/5P2/8 b - - 1 57,b5a4 g8h8 h6g6 h8h3,692,87,96,3724,crushing endgame short skewer,https://lichess.org/UdBdGXbY/black#114,
BM1z1,rnbqkbnr/3pp2p/2p2p2/p5N1/4P3/2N5/PPPPBPPP/R1BQK2R b KQkq - 0 6,f6g5 e2h5,675,99,93,3698,bodenMate mate mateIn1 oneMove opening,https://lichess.org/R3XhTv9b/black#12,
