PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZrgCo,8/p3P2R/1p1k4/2p2K1p/2P4r/1P6/P6p/8 b - - 0 52,h2h1q e7e8n d6c6 h7c7,1381,72,93,231336,advancedPawn endgame master mate mateIn2 promotion short underPromotion,https://lichess.org/wOOnQcXR/black#104,
My4oN,8/p2k1p2/1p1q2p1/3P2Pr/2P2P2/1P1P2K1/P5Q1/2R5 w - - 9 49,c1h1 h5g5 g3f3 g5g2,1341,67,77,207881,crushing endgame pin short skewer,https://lichess.org/x7lklhVC#97,
fVzZN,r5r1/5p1p/1pp1k2b/3ppb2/P7/1N3PP1/1PP2N1P/3RR1K1 b - - 1 21,f5c2 b3d4 e6d6 d4c2,1329,81,77,203143,advantage fork middlegame pin short,https://lichess.org/3RBNFyN9/black#42,
FNNFT,2rr4/1b2kppp/p2Rp3/n3P3/2B5/P4N2/2P2PPP/3R2K1 w - - 1 24,c4a6 b7a6 d6d8 c8d8 d1d8 e7d8,1338,79,64,199422,advantage long middlegame,https://lichess.org/wxuI583i#47,
szk1i,2r2rk1/p4p1p/1n1R2p1/3pp3/6R1/1qP1PP2/3PBP1P/2Q2K2 w - - 3 25,g4b4 b3b4 c3b4 c8c1,1399,83,72,188969,crushing middlegame short,https://lichess.org/G5sUZopU#49,
04BH8,2r3k1/pp2npp1/3r2qp/8/2BBp3/1PP3Rb/P4P2/R2Q3K b - - 0 28,g6f5 g3g7 g8f8 g7f7 f5f7 c4f7,1395,86,79,172907,crushing fork long middlegame,https://lichess.org/G4dmqMvs/black#56,
EJqdv,6k1/5ppp/8/4P3/8/2N1Q3/Pq1r2PP/5RK1 w - - 9 28,f1f2 b2c1 f2f1 d2g2 g1g2 c1e3,1375,81,91,144013,advantage deflection discoveredAttack endgame long,https://lichess.org/dNaeu85P#55,
FjK5u,8/p4kpp/5p2/2Qb4/3P4/P3q2P/P5P1/1R4K1 w - - 2 32,g1h1 e3h3 h1g1 h3g2,1390,80,90,143698,endgame mate mateIn2 pin short,https://lichess.org/6lLWHJDc#63,
Kdmd5,rr4k1/p4ppn/2p4p/4P3/1p3N2/3R4/qP2Q1PP/3R2K1 b - - 1 29,a2c4 d3d8 b8d8 d1d8 a8d8 e2c4,1336,78,96,58646,advantage long middlegame,https://lichess.org/hDoY8tn8/black#58,
fLdLC,6k1/7p/3q2p1/p2p1pP1/2pPrR2/2R1P1QP/P5PK/1r6 w - - 2 37,f4e4 b1h1 h2h1 d6g3,1318,80,95,56437,crushing deflection endgame short,https://lichess.org/hFdR548u#73,
4pxqH,6k1/1pb5/2P3p1/2q3Pp/3pPp1Q/3P1P1B/r7/1R4K1 b - - 0 38,c5c2 h3e6 g8f8 e6a2,1301,79,98,54423,crushing endgame fork master short,https://lichess.org/dTbVznMx/black#76,
ENx6R,7Q/2R1bk2/3p2q1/1p2n3/8/1P6/P4PPK/8 w - - 11 42,h2g1 e5f3 g1h1 g6b1 c7c1 b1c1,1347,79,94,51399,endgame long master mate mateIn3 pin,https://lichess.org/wEoJHIZG#83,
iUvHT,r1bq1rk1/1p4bp/2pp1n2/2PPp3/P3Pp2/BQN2BP1/7P/R4RK1 b - - 0 21,c8h3 d5c6 g8h8 c6b7,1348,78,95,49828,advancedPawn advantage discoveredAttack discoveredCheck middlegame short,https://lichess.org/63d8iLHV/black#42,
mrDdX,8/3qbrpk/3p1n1p/p3pN2/Pp2P3/6RQ/1r1B1PPP/3R2K1 b - - 1 26,f6e4 g3g7 f7g7 h3h6 h7g8 h6g7,1351,77,96,49782,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/y6pJo6eK/black#52,
gjRzl,6k1/p3P1p1/6Pp/3p4/r2Pn3/P4r2/1P3P2/1KR5 b - - 0 36,e4d6 c1c8 d6c8 e7e8q f3f8 e8a4,1314,77,96,49748,advancedPawn crushing deflection endgame fork long promotion,https://lichess.org/9InMUXce/black#72,
yWq9J,5rk1/1p3ppp/1p3n2/4NN2/8/8/r5PP/3R2K1 b - - 1 22,a2e2 f5e7 g8h8 e5f7 f8f7 d1d8 f6e8 d8e8 f7f8 e8f8,1306,80,95,49449,backRankMate deflection endgame mate mateIn5 sacrifice veryLong,https://lichess.org/rmsZ7ptn/black#44,
RrcVo,rn1q1rk1/p1p1bp2/1p1pp1pQ/4Pb2/3P4/1PP5/P4P2/RNB1K1R1 b Q - 1 18,d6e5 g1h1 e7h4 h1h4 d8h4 h6h4,1380,75,95,49202,advantage long opening quietMove,https://lichess.org/3yK9SaOw/black#36,French_Defense French_Defense_Kings_Indian_Attack
uDZRp,1R6/7k/1R5p/P2p2p1/3P4/6P1/4rrK1/8 w - - 0 39,g2h3 f2h2 h3g4 e2e4 g4f3 g5g4,1333,77,96,48876,endgame long mate mateIn3 rookEndgame,https://lichess.org/ba8xEvYr#77,
