PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
09Uwe,r1bqkb1r/pp1n1ppp/4p3/3pP3/2B5/5N2/PPP2PPP/R1BQK2R w KQkq - 0 9,c4b5 d8a5 e1f1 a5b5,1197,91,74,183541,crushing fork opening short,https://lichess.org/hIMPC9f8#17,Rat_Defense Rat_Defense_Antal_Defense
9OVqg,8/2P5/8/2r5/p1k2R2/8/4K3/8 b - - 1 56,c4b5 f4f5 c5f5 c7c8q,1188,72,88,64935,advancedPawn crushing deflection endgame pin promotion rookEndgame short,https://lichess.org/rKMw7hxE/black#112,
eB61N,r2qk2r/pp4pp/2nbPn2/1Bp5/3pP3/2N5/PPP2PPP/R1BQK2R w KQkq - 2 11,c3d5 d8a5 c1d2 a5b5,1139,79,96,50619,advantage fork opening short,https://lichess.org/LqXD0nY3#21,Vienna_Game Vienna_Game_Other_variations
TRxnG,6k1/2p3pp/pb1p4/1p2p1qn/4P1P1/P2P3P/1PP4r/R2Q2NK w - - 0 22,h1h2 g5f4 h2h1 h5g3 h1g2 f4f2,1196,75,95,47781,endgame epauletteMate long mate mateIn3,https://lichess.org/3RbI95qH#43,
2RsIp,2kr3r/1q3p2/p2b2p1/2p5/1P1pP3/BR1Q2P1/P1P5/1R4K1 b - - 0 32,h8h3 b4c5 h3g3 d3g3 d6g3 b3b7,1172,79,91,46269,crushing long middlegame,https://lichess.org/cpVT9UUE/black#64,
2obs6,6k1/5p1p/6p1/r6n/1p2P3/1P1NbPP1/1N1r2BP/1R3R1K w - - 7 35,b2c4 h5g3 h2g3 a5h5 g2h3 h5h3,1148,79,95,44934,clearance kingsideAttack long mate mateIn3 middlegame pillsburysMate sacrifice,https://lichess.org/1Marorto#69,
8kCD9,5rk1/1b3pp1/3r3p/2Q1b3/8/2P1Bq1P/PP3PP1/R4RK1 w - - 0 27,g2f3 d6g6 e3g5 g6g5 g1h1 b7f3,1193,76,96,43809,long mate mateIn3 middlegame morphysMate,https://lichess.org/aiG2RI3M#53,
9kjoP,2k2r1r/pbpnqpbp/1p4p1/3Pp3/4P3/2PB1NQ1/PP1N2PP/R4RK1 w - - 6 15,d3b5 e7c5 f3d4 e5d4,1184,77,95,43507,advantage fork middlegame short,https://lichess.org/H5VHqe3E#29,Pirc_Defense Pirc_Defense_Other_variations
waY9P,r7/pp2qr1k/6pp/5b2/4NQ2/3Bn1P1/PPP5/2K4R b - - 0 27,f5e4 f4h6 h7g8 h6h8,1125,79,97,41982,fork mate mateIn2 middlegame short,https://lichess.org/ocw65r6S/black#54,
fDi8j,r6r/pp3p1p/1b1k2p1/1B1pn3/6b1/P2NP3/1P1B1PPP/2R2RK1 b - - 7 17,g4e2 d2b4 d6e6 d3f4,1173,78,95,41972,crushing middlegame short,https://lichess.org/jez76hZd/black#34,Tarrasch_Defense Tarrasch_Defense_Other_variations
9JT7B,rnb2rk1/6bR/2p3P1/p3p1N1/4p2Q/3q4/PP3P2/R3K3 b Q - 1 21,e4e3 h7h8 g7h8 h4h7,1132,81,96,41305,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/6aY86n27/black#42,
gMDPf,3r2k1/5ppp/8/pP6/8/RQ2P1qP/1P4P1/6K1 w - - 1 33,a3a5 g3e1 g1h2 e1a5,1188,77,95,40862,crushing endgame fork short,https://lichess.org/mz8Tz2Ml#65,
Hw5yy,5rk1/1p3q1p/8/pP4P1/P2PQ1P1/4P3/6K1/7R w - - 9 34,h1h2 f7f2 g2h3 f8f3 e4f3 f2f3,1176,77,87,39533,crushing endgame exposedKing long,https://lichess.org/G1CGIilD#67,
f6UKq,2q1k1r1/R4p2/2p5/1p1bP3/3Q2P1/3P1B2/5P2/6K1 w - - 1 35,f3d5 g8g4 d4g4 c8g4,1169,75,97,37543,advantage endgame fork short,https://lichess.org/wo2PJFRV#69,
EEa51,1Q3b1r/3qkppp/4p3/3n4/P4P2/B3n3/P2RK1PP/8 b - - 6 22,e7f6 b8e5 f6g6 e5g5,1172,77,95,37465,mate mateIn2 middlegame short,https://lichess.org/jd4YS8bF/black#44,
INSwD,4r2k/1p1r2pp/4q3/3NP3/2QP4/1P3R1P/P5P1/6K1 w - - 5 32,d5c7 e6c4 b3c4 d7c7,1193,76,94,36333,advantage capturingDefender endgame short,https://lichess.org/k59bSpR6#63,
SAJMi,r4Q2/ppp1N1pk/3p4/4p1P1/3nP1b1/3P4/PPPK2P1/R7 b - - 3 22,a8f8 a1h1 g4h5 h1h5,1120,85,93,36320,anastasiaMate endgame mate mateIn2 short,https://lichess.org/cSRHXYAP/black#44,
OIka0,4r1k1/5p1p/6p1/p2P4/q1PP4/r5P1/2QKBP1P/2B4R w - - 0 34,c1a3 e8e2 d2e2 a4c2,1168,81,95,36185,attraction crushing deflection endgame short,https://lichess.org/QXI8VNKT#67,
oHmj0,rn3k1r/ppp2ppp/4bn2/1B6/1b1q4/P1N5/1PPPQPPP/R1B1R1K1 b - - 0 11,e6g4 e2e8 f6e8 e1e8,1104,83,96,35767,mate mateIn2 opening operaMate sacrifice short,https://lichess.org/MVEcKXL3/black#22,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
wXcAE,r3k2r/1b1p1pp1/p2qp3/1pp2P2/3nP1p1/P1NP2P1/BPP1N3/R2Q1RK1 w kq - 1 16,e2d4 d6g3,1169,75,95,35568,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/jAMCEFFO#31,Sicilian_Defense Sicilian_Defense_Closed
9wVDA,r2q1rk1/1b1nbpp1/p3p2p/1p1n4/3PQ2B/2NB1N2/PP3PPP/2RR2K1 b - - 2 15,d7f6 h4f6 d5f6 e4b7,1199,80,93,35357,advantage middlegame short,https://lichess.org/pNq2rECl/black#30,Queens_Gambit_Declined Queens_Gambit_Declined_Neo-Orthodox_Variation
