PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
S1k6e,2kr1bnr/pp1np2p/1qp3p1/5p2/3P1B2/2NB1Q2/PPP2PPP/R4RK1 b - - 3 13,b6d4 f3c6 b7c6 d3a6,957,88,88,236590,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/ybSYj1w3/black#26,Scandinavian_Defense Scandinavian_Defense_Main_Line
zzpMK,2kr2nr/pp1nq1p1/2p1p1p1/5pN1/1bBP1BP1/5Q1P/PPP5/R4RK1 b - - 1 15,g8f6 f3c6 b7c6 c4a6,949,84,90,235649,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/SIbQC0W0/black#30,Caro-Kann_Defense Caro-Kann_Defense_Rasa-Studier_Gambit
ZJ7FS,3n1rk1/1p3p2/pP2p1p1/2Q1P1Pp/2P1qP1P/3rB3/8/4RRK1 b - - 2 32,d8c6 c5f8 g8f8 e3c5 f8e8 e1e4,996,80,95,36096,attraction crushing discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/wv7pZ6Us/black#64,
qkDe7,Rr5k/6bp/1P4p1/4pp2/2r5/7P/5PP1/R5K1 b - - 1 30,c4c8 b6b7 b8b7 a8c8,972,78,95,33489,advancedPawn crushing deflection endgame master short,https://lichess.org/EvKboSeG/black#60,
HRagu,r1b1k2r/pppp1ppp/2n5/4p3/2PbP1nq/3P2P1/PP1N1P1P/R1BQKB1R w KQkq - 0 8,g3h4 d4f2 e1e2 c6d4,990,81,95,30558,attackingF2F7 mate mateIn2 opening short,https://lichess.org/EBvvlo1E#15,English_Opening English_Opening_The_Whale
suVtA,2kr1b1r/pppb2p1/2np1p2/3NqP1p/4P1nN/3B4/PPP3PP/R1B1QRK1 w - - 1 14,h4g6 e5h2,976,87,93,30331,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/pBUK9eJW#27,Center_Game Center_Game_Normal_Variation
uOTZD,4rrk1/1b3pb1/pq1p1npp/1ppP4/2P5/PP1n1B1P/1B1N1PPN/1R1QR1K1 w - - 5 19,b2f6 e8e1 d1e1 d3e1,986,80,97,29771,crushing fork middlegame short,https://lichess.org/ahS22pmC#37,Benko_Gambit Benko_Gambit_Other_variations
jIOY1,4r1k1/p1Q2ppp/3n4/8/6q1/1BP2b2/P1PR2PP/6K1 b - - 1 21,d6e4 c7f7 g8h8 f7e8,972,83,96,27581,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/Vfz71nu0/black#42,
popOX,4r1k1/2R2ppp/3n4/8/8/4BQ2/5PPP/1q4K1 w - - 1 24,c7c1 b1c1 e3c1 e8e1,991,93,96,27276,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/N8tvZ6pv#47,
S8B5x,2rq1rk1/pp3pp1/5b1p/4n3/4N3/2p2P1P/PPQ2P2/RB2K2R b KQ - 1 18,c3b2 e4f6 d8f6 c2h7,992,79,96,26377,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xD6Erhnd/black#36,Zukertort_Opening Zukertort_Opening_Slav_Invitation
OK4vR,r5rk/pp1n1pbp/3pp3/5p2/3P1q2/2P4P/PP5P/R1B1QNK1 w - - 3 20,c1f4 g7d4 g1h1 g8g1,960,84,95,25948,discoveredCheck doubleCheck kingsideAttack mate mateIn2 middlegame operaMate short,https://lichess.org/jsbuRkzQ#39,
