PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Vzb9s,r1r3k1/pp2p2B/4bp1Q/4q3/3p1p2/8/P1P2PPP/5RK1 b - - 5 27,g8f7 h7g6 f7g8 h6h7 g8f8 h7h8 e6g8 h8h6,1924,79,94,237025,mate mateIn4 middlegame veryLong,https://lichess.org/7P9GsRdv/black#54,
STcCT,2kr3r/Qpp4p/3b4/3N1pq1/4p3/5bP1/PPB4P/R2R2K1 b - - 1 23,d6g3 d5e7 g5e7 a7a8,1937,85,90,230256,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/Wn2OvZl3/black#46,
8YdqI,5r2/8/1R6/3RP3/4P2r/4k3/6P1/6K1 w - - 0 38,b6b4 f8f1 g1f1 h4h1,1954,86,91,229439,attraction endgame mate mateIn2 rookEndgame sacrifice short,https://lichess.org/oStVpbpk#75,
wDHCw,rnb2rk1/pp4pp/2p1pq2/3p4/2PPp2b/P1N1P1PP/1PQB1P2/R3K1NR w KQ - 1 12,g3h4 f6f2 e1d1 f2g2 d2e1 g2h1,1953,79,90,227029,attackingF2F7 crushing long opening trappedPiece,https://lichess.org/8qx5NzIP#23,Dutch_Defense Dutch_Defense_Classical_Variation
GGeSa,3r2k1/1pr1qpp1/pN2p3/P2p4/1R1PnQ2/2P1R3/1P4PP/6K1 b - - 7 26,e7f6 e3e4 d5e4 f4c7 e4e3 c7g3,1988,56,87,224149,crushing defensiveMove long master middlegame superGM,https://lichess.org/KhcOcODF/black#52,
QNkn5,2r1Nrk1/1p1b1pp1/pq2p3/3p2R1/P7/2Q5/1P3PPP/2R3K1 b - - 0 23,c8c3 e8f6 g8h8 g5h5,1917,84,90,223885,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/qBYITkcZ/black#46,
IYtMp,r1bqk1nr/ppp1ppbp/2n3p1/1N6/3p4/4B3/PPPQ1PPP/2KR1BNR b kq - 3 9,d4e3 d2d8 c6d8 b5c7 e8f8 d1d8,1931,85,92,222060,backRankMate deflection fork long mate mateIn3 opening,https://lichess.org/XDS6NQUo/black#18,Indian_Defense Indian_Defense_Other_variations
5GdDy,8/p4pkp/1p3Qp1/8/2q5/8/P1r1r1PP/5RRK b - - 4 32,g7h6 f1f4 e2e4 f6h4 h6g7 f4e4,1952,82,91,221902,crushing endgame long,https://lichess.org/iJSC5ez2/black#64,
4HMFj,r5k1/8/2pp2qp/1p2prp1/p3Q1N1/P2P4/1PP2P2/2K2R2 b - - 1 29,a8c8 e4f5 g6f5 g4h6 g8h7 h6f5,1975,84,91,221353,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/UkJuCf1O/black#58,
yh7ns,r3kn1R/1p2b1p1/2p1ppP1/1q1pB3/3P4/2P1PQ2/5P2/3NK3 b q - 4 27,f6e5 h8f8 e7f8 f3f7 e8d8 f7f8 d8d7 f8a8,1973,80,92,220631,advantage deflection exposedKing middlegame sacrifice skewer veryLong,https://lichess.org/886rTPXJ/black#54,
