PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
eyydE,6k1/3q1pp1/rpp1n1r1/3pP3/P7/B3P1PP/2Q2PK1/1RR5 w - - 1 33,c2c6 e6f4 e3f4 g6c6,1741,79,88,231555,crushing discoveredAttack master middlegame pin short,https://lichess.org/OcujIDY5#65,
Ylqq0,4r1rk/2Q5/3p1qp1/8/1PP4p/5PR1/P4P1P/6RK w - - 0 28,g3g2 f6f3 c7d6 h4h3 d6g3 h3g2,1754,79,88,226043,advancedPawn advantage endgame long,https://lichess.org/AcRaA3bQ#55,
pYBPk,r2qkbnr/pp2pppp/2n5/3p4/3P1Bb1/5N2/PPPN1PPP/R2QKB1R b KQkq - 0 6,c6d4 f3d4 g4d1 f1b5,1736,80,84,224218,advantage opening sacrifice short,https://lichess.org/HIox4Xny/black#12,Queens_Pawn_Game Queens_Pawn_Game_Steinitz_Countergambit
EImHk,r7/p3R1pk/2p1np1p/P2q4/3P2P1/6Q1/1r3B1P/5RK1 b - - 8 36,e6d4 g3d3 h7h8 d3d4,1728,78,89,219428,advantage middlegame short,https://lichess.org/meviBPVh/black#72,
VeeC3,5rk1/2pQ1pp1/1q5p/8/4bP2/2P5/1P4PP/2BR2K1 w - - 1 24,d7d4 f8d8 d4b6 d8d1 g1f2 c7b6,1792,81,90,219077,crushing endgame fork intermezzo long pin sacrifice skewer,https://lichess.org/pGGGLzga#47,
FvFUn,r6k/2n1N1rp/3p1Qp1/qp1P4/4P3/p4PP1/p1P5/2K4R b - - 1 33,a8e8 h1h7 h8h7 f6h4,1713,85,92,216752,anastasiaMate attraction kingsideAttack master mate mateIn2 middlegame pin sacrifice short,https://lichess.org/aib8g54m/black#66,
oOIBK,r3r1k1/1p5p/4pqp1/1Q6/p1Bb4/6P1/PP2RP1P/4R1K1 w - - 0 25,e2e6 f6f2 g1h1 f2f3,1754,79,90,215785,mate mateIn2 middlegame short,https://lichess.org/TisBHpQ3#49,
Zt2XG,2k5/R6p/8/4Nr2/1P4n1/P5P1/2P4P/5K2 w - - 1 32,f1g2 g4e3 g2h3 f5h5,1760,84,90,214899,anastasiaMate endgame mate mateIn2 short,https://lichess.org/xSeL467O#63,
pILbR,r3kb1r/1p3pp1/p1n2n1p/2p1N3/2BPq3/8/PPP2PPP/R1BQK2R w KQkq - 2 12,e1f1 c6e5 d4e5 e4c4 d1e2 c4e2,1773,80,88,214046,advantage capturingDefender long opening,https://lichess.org/e0fApHZy#23,Scandinavian_Defense Scandinavian_Defense_Boehnke_Gambit
0ArJV,1r3k1r/p1b3p1/3qBn2/1p4B1/8/5Q2/PP3PP1/RN2R1K1 w - - 2 21,g5f6 h8h1 g1h1 d6h2,1755,51,90,202732,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/oXPTkGFx#41,
5zaav,1k3r1r/1N1p4/1R5p/p1p3p1/P7/5BqP/3b1R2/3Q2K1 w - - 0 29,f2g2 d2e3 g1h1 g3h3 g2h2 h3f3 d1f3 f8f3,1773,91,77,199108,advantage exposedKing middlegame veryLong,https://lichess.org/33zwoUlb#57,
