PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
I6UBz,8/1b1pN1bk/2nPp3/4P3/r5K1/5R2/7P/B1R5 w - - 4 35,f3f4 a4f4 g4f4 g7h6 f4g4 h6c1,2032,83,92,312638,advantage attraction long middlegame skewer,https://lichess.org/kdooJ3Oo#69,
C5pGh,2r3k1/p4ppp/1b6/8/1P6/P1r3B1/6PP/1R3R1K w - - 4 22,b1a1 c3g3 h2g3 c8c6 f1f4 g7g5 f4h4 g5h4,2049,56,90,255176,advantage endgame quietMove sacrifice veryLong,https://lichess.org/vX5cSTkH#43,
ZgKi3,r4rk1/p4p1p/1qp2Qp1/8/2B3p1/1P3P2/P5KP/3R4 b - - 1 23,a8e8 d1d7 e8e2 c4e2,2009,81,82,236921,crushing endgame short,https://lichess.org/dCjJWdBr/black#46,
g9cWL,rnb2rk1/pp3ppp/2p5/8/3qP3/1BbP2B1/P1P3PP/R1QK2NR w - - 6 14,a1b1 d4g1 h1g1 c8g4,2099,66,92,226663,bodenMate mate mateIn2 opening sacrifice short,https://lichess.org/hO2kUnxf#27,Bishops_Opening Bishops_Opening_Vienna_Hybrid
X2V7x,5r1k/p1r1q2p/b3pp1Q/2N5/3p2R1/1PP2P2/P4P1P/2K3R1 b - - 0 25,e7c5 h6f6 f8f6 g4g8,2005,87,92,221446,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ZHgO4gs5/black#50,
jkLL6,1r1r4/p3N2k/3p4/2p3P1/b2bK3/8/P2R4/5R2 b - - 2 33,d8e8 f1f7 d4g7 d2h2,2062,89,91,221184,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/4xpnYUP3/black#66,
Ghmfw,1rb4r/6kq/1p1p1n1n/pN1Pp1p1/P1P1Pp2/3B1P1P/1P2Q1PN/1R3RK1 w - - 3 24,h2g4 h6g4 f3g4 c8g4,2045,81,83,216244,advantage middlegame short,https://lichess.org/PCsrkKP6#47,
LFoUC,8/5k2/p1p1p2p/4PP2/1P4P1/1KP3bP/1P6/8 w - - 1 45,f5e6 f7e6 b3c4 g3f2,2034,79,89,213479,advantage bishopEndgame defensiveMove endgame short,https://lichess.org/z4Nw7rZi#89,
ceKcz,1r5k/p3r1pp/8/2pQq3/4PN2/6P1/PPP4P/4R1K1 b - - 4 27,b8b2 d5e5 e7e5 f4d3 b2c2 d3e5,2022,84,91,207262,advantage attraction endgame fork long,https://lichess.org/9asF2oYG/black#54,
vTpaZ,r2q2k1/pp4b1/2bp4/4p1B1/6P1/3B1r1P/PP1Q1P2/2R2RK1 b - - 0 23,f3h3 c1c6 h3d3 d2d3,2023,67,85,202024,crushing middlegame short,https://lichess.org/h4sYGtXI/black#46,
hxrbe,2r3k1/p1B2ppp/8/1p6/8/KP1n1N2/P4PPP/7R w - - 1 22,c7g3 c8c6 g3c7 c6a6 c7a5 a6a5,2084,79,92,199160,anastasiaMate endgame long mate mateIn3 quietMove,https://lichess.org/FQRo51Vo#43,
5g8ZS,2b3k1/5ppp/p1p2n2/2Qp4/NB3P2/3P3P/PP4PK/5q2 b - - 5 26,f1f4 g2g3 f6d7 g3f4,2038,80,83,196281,advantage defensiveMove endgame short,https://lichess.org/kx5UxKrj/black#52,
tMbrZ,r4rk1/1p3ppp/n1pR4/2q1P3/2P2P2/1Q4P1/6BP/1R5K w - - 1 27,b3b7 a8b8 b7b8 a6b8,2080,82,90,190323,advantage middlegame short,https://lichess.org/80LkFx0L#53,
c7jD2,3Q4/p4ppk/q3b3/8/7P/1PPn4/5RP1/1K2R3 w - - 1 34,f2a2 a6b5 a2a3 d3e1,2051,80,88,189513,advantage endgame short,https://lichess.org/HSutepta#67,
ewVBm,4q1k1/R5pp/1p2P3/1b1pQ1P1/3P4/2P5/1P4KP/2r5 b - - 0 24,e8f8 a7f7 f8f7 e6f7,2009,79,92,188267,advancedPawn crushing endgame short,https://lichess.org/jWXq7A4y/black#48,
R8EqI,r5nk/ppp1qrRp/3p1n1P/3P2Q1/4P3/2N2P1b/PPP5/2K3R1 b - - 1 23,h3d7 g7f7 e7f7 g5g7 f7g7 h6g7,2056,78,94,186822,advancedPawn clearance kingsideAttack long master mate mateIn3 middlegame,https://lichess.org/5CRVoS0u/black#46,
nS2jn,rnb1k1nr/pp3ppp/4p3/2bp4/8/2P2NB1/Pq1NPPPP/R2QKB1R b KQkq - 1 7,b2c3 g3e5 c3a3 e5g7,2036,83,91,185033,advantage interference opening short,https://lichess.org/FcRhhOF1/black#14,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted
ZuEzD,4rk2/1pp2pp1/p6p/2Nq4/1Q6/P5PP/1P2RP2/6K1 b - - 0 33,e8e2 c5e6 f8e8 e6c7 e8d7 c7d5,2027,89,92,183097,crushing discoveredCheck doubleCheck endgame fork long,https://lichess.org/NDubiib9/black#66,
71pTB,r1bqk1nr/pp1pppbp/2n3p1/1N6/4P3/2N1B3/PPPQ1PPP/R3KB1R b KQkq - 8 8,a7a6 c3d5 a6b5 e3b6,2010,78,90,182892,advantage opening sacrifice short,https://lichess.org/fv1CN3Rx/black#16,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Fianchetto
ViyXR,6k1/p4p1p/1p2rnpB/3pp3/1Q6/8/q4PPP/5RK1 b - - 5 32,f6d7 f1c1 e6e8 b4e7,2081,79,89,182331,advantage endgame quietMove short,https://lichess.org/gLIZehC8/black#64,
7YXrV,2r1qrk1/1b2b3/1p2pn1Q/p1ppB3/3P1P2/2P1PR2/PP4PP/R5K1 b - - 4 20,e8h5 f3g3 g8f7 g3g7 f7e8 g7e7 e8e7 e5f6 f8f6 h6h5,2013,78,93,181407,attraction capturingDefender crushing exposedKing kingsideAttack middlegame veryLong,https://lichess.org/DJGUSoGJ/black#40,
Y7h49,r4r2/1q2ppk1/2pp2p1/p3n2p/N3P1bP/8/PPPQBP2/2KR2R1 b - - 1 18,e5f3 e2f3 g4f3 d2c3 g7h7 c3f3,2009,82,91,180588,advantage fork long middlegame,https://lichess.org/rYQ3NEzH/black#36,Sicilian_Defense Sicilian_Defense_Dragon_Variation
BDWNi,r4rk1/2p1npp1/p4q2/2p1B1N1/4b2Q/4nB2/PP5P/5R1K b - - 9 29,f6e5 f3e4 e5e4 h4e4,2040,78,88,178894,advantage middlegame short,https://lichess.org/Prz0gDia/black#58,
8fuUj,4kbr1/1b1n1p2/2n1p3/3pP3/1PpP3B/2q2N2/Q4PPP/R2B2K1 b - - 2 25,c6d4 a2a8 b7a8 a1a8 d7b8 d1a4 d4c6 a4c6,2043,86,94,178764,bodenMate mate mateIn4 middlegame pin sacrifice veryLong,https://lichess.org/IG9esLpd/black#50,
Hzbl6,2r3k1/1Q3p1p/p5p1/3pPp2/1P6/P3bN1R/2r3PP/5K2 w - - 4 27,f3e1 c2f2 f1g1 f2f3 g1h1 f3f1,2001,92,91,178685,backRankMate discoveredAttack discoveredCheck endgame long mate mateIn3,https://lichess.org/bYJpRIjS#53,
0ww6H,r4rk1/1bp2ppp/p1Nb1q2/8/8/2P1B3/PPP1QPPP/R4RK1 w - - 3 14,c6a5 f6e5 f2f4 e5a5,2067,80,90,177802,advantage middlegame short,https://lichess.org/Jon2B2NO#27,Ruy_Lopez Ruy_Lopez_Morphy_Defense
i5GRV,7k/6p1/1p6/7p/5PP1/P3p1K1/1P1qQ2P/8 w - - 2 44,e2b5 d2f2 g3h3 f2f3 h3h4 f3g4,2012,88,91,177706,endgame long mate mateIn3 queenEndgame,https://lichess.org/gJ3pjCvr#87,
9nPpJ,2Q5/8/1p1k4/2p3P1/2K2P2/r7/2P5/r7 w - - 0 50,g5g6 b6b5 c4b5 a1b1 b5c4 b1b4,2022,74,94,177559,attraction endgame long mate mateIn3 queenRookEndgame,https://lichess.org/uynEluFS#99,
n16cf,5rk1/pq4bp/2p3p1/5n2/2N1NQ2/P7/1PP3PP/5RK1 w - - 2 25,e4d6 f5d6 f4d6 f8f1 g1f1 b7f7 f1g1 f7c4,2065,85,91,176920,advantage attraction discoveredAttack fork middlegame veryLong,https://lichess.org/qfdhFHsM#49,
LYkrM,r2q1rn1/1p3ppk/p1bbp2p/8/5P2/2N3Q1/PPP1BBPP/3R1RK1 b - - 1 16,g8f6 g3d3 h7h8 d3d6,2046,82,90,176563,crushing middlegame short,https://lichess.org/MkMT7AJf/black#32,Sicilian_Defense Sicilian_Defense_Kan_Variation
smexI,6rk/4Bpn1/R2p2pp/2pNb3/2PnP3/7P/5PP1/5BK1 b - - 0 30,g8b8 f2f4 e5f4 d5f4,2017,80,90,175931,advantage master masterVsMaster middlegame short trappedPiece,https://lichess.org/cPraPHOk/black#60,
fLTzx,3R4/8/4P3/5p2/4k3/3p2P1/4r3/6K1 b - - 0 49,d3d2 d8d2 e2d2 e6e7 e4f3 e7e8q,2094,91,91,174366,advancedPawn advantage endgame long master masterVsMaster promotion rookEndgame sacrifice,https://lichess.org/tXnnIATs/black#98,
VzRjx,8/p7/Pp2kp2/1Pp1b1p1/2P1PpP1/5K2/3B4/8 b - - 5 59,e5d4 d2a5 b6a5 b5b6,2050,81,91,174236,bishopEndgame crushing endgame master sacrifice short,https://lichess.org/1lzSbxMF/black#118,
LwK63,2k2b1r/1p1r1p1p/p3p1p1/8/2P2P2/1PK5/P1N5/R1B2R2 w - - 0 28,c2d4 d7d4 c3d4 f8g7,2032,80,90,173270,advantage attraction middlegame sacrifice short skewer,https://lichess.org/iREy2KsA#55,
AzEBZ,7R/1p3r1p/p5pK/6P1/6kP/8/1P6/8 w - - 1 50,h8h7 f7h7 h6h7 g4h5,2067,84,90,173239,crushing endgame rookEndgame short,https://lichess.org/OHjQn7zG#99,
WzRib,2rq2k1/1p2Bppp/p7/2p5/8/1P4QP/1b3PP1/4R1K1 b - - 2 23,d8c7 g3c7 c8c7 e7d8 f7f6 d8c7,2002,81,92,173109,advantage attraction endgame long,https://lichess.org/ttz8yoMU/black#46,
